Datetime,t2m,sp
01-01-2014 00:00,287.8012301,99927.03355
01-01-2014 01:00,287.6817023,99956.72029
01-01-2014 02:00,287.5650898,100061.4485
01-01-2014 03:00,286.9834851,100137.3146
01-01-2014 04:00,286.3042175,100188.4418
01-01-2014 05:00,288.2224927,100245.3413
01-01-2014 06:00,289.0795944,100203.2851
01-01-2014 07:00,289.2107834,100109.2771
01-01-2014 08:00,290.7865095,100034.2357
01-01-2014 09:00,290.7092537,99964.14197
01-01-2014 10:00,289.212241,99897.34681
01-01-2014 11:00,289.0897979,99898.17144
01-01-2014 12:00,288.2851719,99914.66408
01-01-2014 13:00,287.1117588,99927.85818
01-01-2014 14:00,285.7619694,99975.68681
01-01-2014 15:00,284.6512356,100027.6386
01-01-2014 16:00,284.2795334,100073.818
01-01-2014 17:00,283.1323581,100063.9224
01-01-2014 18:00,283.2679201,100040.0081
01-01-2014 19:00,283.3757867,100033.411
01-01-2014 20:00,282.7154685,100012.7952
01-01-2014 21:00,282.1703052,99971.56366
01-01-2014 22:00,281.3919169,99927.03355
01-01-2014 23:00,281.2825927,99910.54092
02-01-2014 00:00,281.3569332,99929.50744
02-01-2014 01:00,280.9677391,99988.88092
02-01-2014 02:00,280.8205158,100072.9933
02-01-2014 03:00,280.9429589,100184.3186
02-01-2014 04:00,281.8350443,100257.7108
02-01-2014 05:00,286.0403817,100280.8005
02-01-2014 06:00,286.6103252,100221.427
02-01-2014 07:00,287.0680292,100113.4003
02-01-2014 08:00,289.2428518,99999.60113
02-01-2014 09:00,289.6801486,99913.83944
02-01-2014 10:00,288.0869307,99884.15271
02-01-2014 11:00,287.9338768,99854.46597
02-01-2014 12:00,286.5243235,99819.00681
02-01-2014 13:00,286.0447547,99868.48471
02-01-2014 14:00,283.8378636,99911.36555
02-01-2014 15:00,283.1134086,99937.75376
02-01-2014 16:00,283.1527653,99964.14197
02-01-2014 17:00,281.7257201,99922.08576
02-01-2014 18:00,281.6572103,99914.66408
02-01-2014 19:00,281.3656791,99876.73102
02-01-2014 20:00,280.5202387,99887.45123
02-01-2014 21:00,280.5129504,99836.32407
02-01-2014 22:00,279.4707264,99844.57039
02-01-2014 23:00,279.1806529,99814.88365
03-01-2014 00:00,279.0494638,99805.81271
03-01-2014 01:00,278.8308155,99837.97334
03-01-2014 02:00,279.3905553,99912.19018
03-01-2014 03:00,279.7637153,100013.6199
03-01-2014 04:00,280.9123481,100096.083
03-01-2014 05:00,286.9689086,100100.2062
03-01-2014 06:00,287.8507904,100067.2209
03-01-2014 07:00,288.2997484,99911.36555
03-01-2014 08:00,290.7107114,99836.32407
03-01-2014 09:00,291.1348892,99730.77123
03-01-2014 10:00,289.1364429,99699.43523
03-01-2014 11:00,289.0606448,99633.4647
03-01-2014 12:00,290.6101331,99654.90512
03-01-2014 13:00,290.1874129,99662.32681
03-01-2014 14:00,286.4995433,99724.99881
03-01-2014 15:00,286.3392012,99743.96534
03-01-2014 16:00,286.8858222,99724.99881
03-01-2014 17:00,286.3683543,99677.99481
03-01-2014 18:00,286.5782568,99677.17018
03-01-2014 19:00,286.5738838,99651.6066
03-01-2014 20:00,286.052043,99666.44997
03-01-2014 21:00,285.1978566,99643.36028
03-01-2014 22:00,283.5944351,99635.9386
03-01-2014 23:00,283.4384659,99630.16618
04-01-2014 00:00,283.1104933,99620.2706
