Datetime,t2m,sp
01-01-2014 00:00,286.8537537,101254.6904
01-01-2014 01:00,286.9805698,101316.5378
01-01-2014 02:00,287.4295278,101368.4896
01-01-2014 03:00,288.7764019,101464.9715
01-01-2014 04:00,289.2282753,101513.6247
01-01-2014 05:00,292.9161448,101562.278
01-01-2014 06:00,293.2528633,101490.535
01-01-2014 07:00,293.3446956,101418.7921
01-01-2014 08:00,296.1288185,101261.2875
01-01-2014 09:00,296.9349022,101158.2085
01-01-2014 10:00,295.2469366,101107.0814
01-01-2014 11:00,295.058899,101145.839
01-01-2014 12:00,294.965609,101152.4361
01-01-2014 13:00,294.4291917,101177.9997
01-01-2014 14:00,292.5152894,101232.4254
01-01-2014 15:00,292.2310465,101297.5713
01-01-2014 16:00,292.3622355,101336.3289
01-01-2014 17:00,291.5984238,101360.2433
01-01-2014 18:00,291.8957856,101325.6087
01-01-2014 19:00,291.8024957,101314.0639
01-01-2014 20:00,291.2223486,101295.922
01-01-2014 21:00,290.8171202,101276.9555
01-01-2014 22:00,290.1844976,101239.0224
01-01-2014 23:00,290.038732,101234.0746
02-01-2014 00:00,289.9177465,101232.4254
02-01-2014 01:00,289.7267936,101300.0451
02-01-2014 02:00,289.5606208,101355.2955
02-01-2014 03:00,290.9424786,101470.7439
02-01-2014 04:00,290.5853529,101546.61
02-01-2014 05:00,294.3038332,101583.7184
02-01-2014 06:00,294.2659342,101525.1696
02-01-2014 07:00,294.3475629,101429.5123
02-01-2014 08:00,297.1112786,101314.0639
02-01-2014 09:00,297.7541049,101187.8953
02-01-2014 10:00,295.4845346,101173.8765
02-01-2014 11:00,295.656538,101143.3651
02-01-2014 12:00,295.3373113,101136.7681
02-01-2014 13:00,294.6624166,101194.4923
02-01-2014 14:00,292.5692227,101235.7239
02-01-2014 15:00,292.0284323,101276.1308
02-01-2014 16:00,291.6508994,101292.6235
02-01-2014 17:00,291.6785949,101291.7988
02-01-2014 18:00,292.2281312,101269.5338
02-01-2014 19:00,292.4482372,101246.4441
