Datetime,t2m,sp
01-01-2014 00:00,288.3711736,96203.82192
01-01-2014 01:00,288.1175414,96255.77371
01-01-2014 02:00,288.1714747,96344.00929
01-01-2014 03:00,288.9790161,96417.4015
01-01-2014 04:00,289.6509955,96475.95034
01-01-2014 05:00,293.1668616,96499.04003
01-01-2014 06:00,293.8300951,96415.75224
01-01-2014 07:00,294.2950873,96333.28908
01-01-2014 08:00,296.4043155,96213.7175
01-01-2014 09:00,296.6506593,96124.65728
01-01-2014 10:00,294.9437442,96100.74297
01-01-2014 11:00,294.6157716,96137.02676
01-01-2014 12:00,294.5268546,96165.06423
01-01-2014 13:00,293.6012431,96223.61308
01-01-2014 14:00,291.1800766,96299.47918
01-01-2014 15:00,290.7179996,96356.37876
01-01-2014 16:00,290.1626327,96414.10297
01-01-2014 17:00,288.6816543,96398.43497
01-01-2014 18:00,288.5213121,96382.76697
01-01-2014 19:00,288.5621265,96368.74824
01-01-2014 20:00,288.5256851,96366.27434
01-01-2014 21:00,287.9586569,96320.9196
01-01-2014 22:00,287.6642104,96256.59834
01-01-2014 23:00,287.3785099,96286.28508
02-01-2014 00:00,287.5971583,96294.53139
02-01-2014 01:00,287.5505133,96354.7295
02-01-2014 02:00,287.763331,96413.27834
02-01-2014 03:00,288.2283233,96518.83119
02-01-2014 04:00,288.6306363,96586.45098
02-01-2014 05:00,291.707748,96612.01455
02-01-2014 06:00,292.2762338,96554.29034
02-01-2014 07:00,292.6319019,96452.03603
02-01-2014 08:00,294.8285894,96329.99055
02-01-2014 09:00,295.1682232,96226.9116
02-01-2014 10:00,293.7776194,96245.87813
02-01-2014 11:00,293.5939548,96229.3855
02-01-2014 12:00,293.4336126,96225.26234
02-01-2014 13:00,292.6391902,96274.74023
02-01-2014 14:00,290.1830399,96326.69202
02-01-2014 15:00,290.081004,96372.04676
02-01-2014 16:00,290.0722581,96418.22613
02-01-2014 17:00,289.1087475,96374.52066
02-01-2014 18:00,288.8026397,96371.22213
02-01-2014 19:00,288.6350093,96339.88613
02-01-2014 20:00,287.9732335,96320.9196
02-01-2014 21:00,287.8128913,96277.21413
02-01-2014 22:00,287.225456,96256.59834
02-01-2014 23:00,287.2181677,96249.17665
03-01-2014 00:00,287.3012541,96252.47518
03-01-2014 01:00,287.1219624,96264.02002
03-01-2014 02:00,287.8537057,96326.69202
03-01-2014 03:00,288.7108074,96397.61034
03-01-2014 04:00,289.7442855,96465.23013
03-01-2014 05:00,295.0618143,96461.93161
03-01-2014 06:00,295.7075559,96398.43497
03-01-2014 07:00,295.8708134,96254.94908
03-01-2014 08:00,298.7176154,96155.16865
03-01-2014 09:00,298.8852459,96059.51139
03-01-2014 10:00,297.5529483,96041.36949
03-01-2014 11:00,297.4523701,96031.47391
03-01-2014 12:00,296.6229638,96034.77244
03-01-2014 13:00,295.8372873,96058.68676
03-01-2014 14:00,293.300966,96127.13118
03-01-2014 15:00,292.7251919,96162.59034
03-01-2014 16:00,292.7645486,96178.25834
03-01-2014 17:00,291.3783178,96152.69476
03-01-2014 18:00,291.1800766,96158.46718
03-01-2014 19:00,291.4220475,96087.54886
03-01-2014 20:00,290.483317,96082.60107
03-01-2014 21:00,290.1844976,96050.44044
03-01-2014 22:00,289.4862804,96044.66802
03-01-2014 23:00,289.6116388,96057.86213
04-01-2014 00:00,289.2734626,96019.10444
04-01-2014 01:00,289.3580066,96054.5636
04-01-2014 02:00,290.1611751,96102.39223
04-01-2014 03:00,290.9045796,96158.46718
04-01-2014 04:00,291.2806548,96196.40023
04-01-2014 05:00,297.3095198,96209.59434
04-01-2014 06:00,297.7249517,96118.06023
04-01-2014 07:00,297.9931604,96012.50739
04-01-2014 08:00,299.6169891,95907.77918
04-01-2014 09:00,299.8458411,95836.03623
04-01-2014 10:00,298.0951963,95794.80465
04-01-2014 11:00,298.0193982,95773.36423
04-01-2014 12:00,297.1725001,95812.94654
04-01-2014 13:00,297.1112786,95846.75644
04-01-2014 14:00,293.7615852,95906.12991
04-01-2014 15:00,292.8928223,95934.16739
04-01-2014 16:00,292.881161,95966.32802
04-01-2014 17:00,291.3360458,95949.01076
04-01-2014 18:00,291.2398405,95926.7457
04-01-2014 19:00,290.8550193,95885.51412
04-01-2014 20:00,290.1072418,95875.61854
04-01-2014 21:00,289.8332025,95836.03623
04-01-2014 22:00,289.1947492,95856.65202
04-01-2014 23:00,288.9644395,95844.28254
05-01-2014 00:00,289.1379006,95817.89433
05-01-2014 01:00,288.9542359,95851.70423
05-01-2014 02:00,289.4571272,95958.90633
05-01-2014 03:00,289.992087,96017.45518
05-01-2014 04:00,290.4220955,96080.12718
05-01-2014 05:00,294.1551523,96065.28381
05-01-2014 06:00,294.3111215,95966.32802
05-01-2014 07:00,294.9626937,95854.17812
05-01-2014 08:00,297.0383958,95737.08044
05-01-2014 09:00,297.1958226,95669.46065
05-01-2014 10:00,295.5020264,95615.03496
05-01-2014 11:00,294.7163499,95636.47538
05-01-2014 12:00,294.3169521,95675.23307
05-01-2014 13:00,294.4000385,95712.34149
05-01-2014 14:00,291.8972433,95763.46865
05-01-2014 15:00,291.2515017,95809.64802
05-01-2014 16:00,291.3214692,95854.17812
05-01-2014 17:00,289.8127953,95850.8796
05-01-2014 18:00,289.8127953,95843.45791
