Datetime,t2m,sp
01-01-2014 00:00,290.4804017,100971.0171
01-01-2014 01:00,290.1830399,101073.2715
01-01-2014 02:00,292.2791491,101148.3129
01-01-2014 03:00,292.7208189,101194.4923
01-01-2014 04:00,293.4059172,101219.2313
01-01-2014 05:00,298.4246266,101187.8953
01-01-2014 06:00,299.5863784,101075.7454
01-01-2014 07:00,299.8560447,100930.6102
01-01-2014 08:00,301.1897999,100805.2662
01-01-2014 09:00,301.1941729,100720.3291
01-01-2014 10:00,299.1665735,100707.135
01-01-2014 11:00,298.9552133,100688.9931
01-01-2014 12:00,297.4086404,100734.3479
01-01-2014 13:00,297.0267345,100811.0386
01-01-2014 14:00,294.3125792,100878.6584
01-01-2014 15:00,293.8781977,100946.2782
01-01-2014 16:00,293.4671387,101009.7748
01-01-2014 17:00,291.4001826,101008.1256
01-01-2014 18:00,290.9337327,100980.9127
01-01-2014 19:00,291.3462493,100963.5955
01-01-2014 20:00,290.9949543,100928.9609
01-01-2014 21:00,291.1567541,100886.0801
01-01-2014 22:00,290.7267456,100924.0131
01-01-2014 23:00,289.9017123,100896.8003
02-01-2014 00:00,289.2034951,100924.0131
02-01-2014 01:00,288.8755225,100995.7561
02-01-2014 02:00,292.2091817,101083.167
02-01-2014 03:00,293.2805588,101173.8765
02-01-2014 04:00,293.8198915,101220.8805
02-01-2014 05:00,298.8750423,101191.1938
02-01-2014 06:00,300.1053039,101079.8685
02-01-2014 07:00,300.274392,100970.1925
02-01-2014 08:00,301.7845235,100850.6209
02-01-2014 09:00,301.7947271,100797.8445
02-01-2014 10:00,299.4901731,100778.0534
02-01-2014 11:00,299.2686094,100744.2435
02-01-2014 12:00,298.7904982,100807.7401
02-01-2014 13:00,298.0252289,100865.4643
02-01-2014 14:00,294.2644765,100913.2929
02-01-2014 15:00,294.0399975,100977.6142
02-01-2014 16:00,293.5225297,101018.8458
02-01-2014 17:00,291.6800526,101011.4241
02-01-2014 18:00,291.4001826,101004.827
02-01-2014 19:00,292.0007369,100998.23
02-01-2014 20:00,291.4351664,100949.5767
02-01-2014 21:00,291.5561518,100912.4683
02-01-2014 22:00,291.3418764,100942.155
02-01-2014 23:00,291.2894008,100917.4161
03-01-2014 00:00,290.1509715,100931.4348
03-01-2014 01:00,289.2472248,100994.9315
03-01-2014 02:00,291.712121,101119.4508
03-01-2014 03:00,293.067741,101188.7199
03-01-2014 04:00,294.245527,101255.515
03-01-2014 05:00,298.7263614,101206.8618
03-01-2014 06:00,299.541191,101107.906
03-01-2014 07:00,299.7175674,100956.9984
03-01-2014 08:00,300.8924381,100848.9717
03-01-2014 09:00,300.8210129,100766.5085
03-01-2014 10:00,298.5864264,100680.7468
03-01-2014 11:00,298.5004247,100697.2395
03-01-2014 12:00,298.0193982,100707.9597
03-01-2014 13:00,296.9072068,100764.8592
03-01-2014 14:00,293.6420574,100825.0574
03-01-2014 15:00,293.5108684,100895.151
03-01-2014 16:00,293.6216503,100942.9797
03-01-2014 17:00,291.754393,100960.2969
03-01-2014 18:00,291.6625607,100938.0319
03-01-2014 19:00,292.3359977,100919.0654
03-01-2014 20:00,290.983293,100877.0091
03-01-2014 21:00,290.5459962,100844.8485
03-01-2014 22:00,290.1072418,100848.9717
03-01-2014 23:00,289.8667286,100818.4603
04-01-2014 00:00,290.5751494,100864.6397
04-01-2014 01:00,291.2456711,100942.155
04-01-2014 02:00,292.7674639,101062.5512
04-01-2014 03:00,292.9657051,101115.3277
04-01-2014 04:00,293.5356486,101160.6824
04-01-2014 05:00,297.3109774,101100.4843
04-01-2014 06:00,298.2424196,100941.3304
04-01-2014 07:00,298.5645616,100808.5647
04-01-2014 08:00,299.901232,100699.7133
04-01-2014 09:00,299.9435041,100659.3064
04-01-2014 10:00,297.6957986,100601.5822
04-01-2014 11:00,297.7307824,100600.7576
04-01-2014 12:00,295.9903412,100629.6197
04-01-2014 13:00,295.4961958,100670.8512
04-01-2014 14:00,292.8141089,100756.6129
04-01-2014 15:00,292.7004117,100758.2622
04-01-2014 16:00,292.5327813,100796.1952
04-01-2014 17:00,290.5547422,100796.1952
04-01-2014 18:00,290.9760047,100734.3479
04-01-2014 19:00,291.7631389,100690.6424
04-01-2014 20:00,290.9628858,100677.4483
04-01-2014 21:00,290.9847507,100598.2837
04-01-2014 22:00,290.1626327,100641.9891
04-01-2014 23:00,289.6568261,100607.3546
05-01-2014 00:00,289.356549,100618.8995
05-01-2014 01:00,289.1393583,100713.7321
05-01-2014 02:00,290.7136267,100804.4416
05-01-2014 03:00,290.9060372,100872.0614
05-01-2014 04:00,291.1961108,100900.0988
05-01-2014 05:00,296.9757166,100844.8485
05-01-2014 06:00,298.9581287,100729.4001
05-01-2014 07:00,299.3065084,100575.194
05-01-2014 08:00,301.3311925,100443.2529
05-01-2014 09:00,301.3239042,100376.4578
05-01-2014 10:00,298.8794152,100373.1592
