Datetime,t2m,sp
01-01-2014 00:00,297.6812221,101209.3357
01-01-2014 01:00,297.1768731,101255.515
01-01-2014 02:00,297.6870527,101310.7654
01-01-2014 03:00,298.4319149,101389.1054
01-01-2014 04:00,298.5193742,101444.3557
01-01-2014 05:00,298.9085684,101402.2995
01-01-2014 06:00,300.1636101,101387.4561
01-01-2014 07:00,299.8356375,101288.5003
01-01-2014 08:00,300.0586589,101191.1938
01-01-2014 09:00,299.9128933,101088.9395
01-01-2014 10:00,298.770091,101041.1108
01-01-2014 11:00,298.8356856,101065.0251
01-01-2014 12:00,298.5295778,101093.8873
01-01-2014 13:00,298.4654409,101149.1376
01-01-2014 14:00,297.6783067,101232.4254
01-01-2014 15:00,297.9304812,101306.6422
01-01-2014 16:00,297.8430219,101348.6984
01-01-2014 17:00,297.6214582,101345.3999
01-01-2014 18:00,297.8342759,101333.855
01-01-2014 19:00,297.6783067,101282.7279
01-01-2014 20:00,297.4742349,101223.3544
01-01-2014 21:00,297.5631519,101146.6637
01-01-2014 22:00,296.9975814,101159.0331
01-01-2014 23:00,296.8430699,101156.5593
02-01-2014 00:00,297.8648867,101194.4923
02-01-2014 01:00,297.9319389,101234.0746
02-01-2014 02:00,298.054382,101332.2058
02-01-2014 03:00,298.3998464,101426.2138
02-01-2014 04:00,298.4479491,101503.7292
02-01-2014 05:00,299.4231209,101447.6542
02-01-2014 06:00,300.494498,101407.2473
02-01-2014 07:00,300.4245305,101316.5378
02-01-2014 08:00,300.7947751,101202.7386
02-01-2014 09:00,300.452226,101129.3464
02-01-2014 10:00,299.1622005,101106.2567
02-01-2014 11:00,299.0251808,101116.9769
02-01-2014 12:00,298.8269396,101167.2795
02-01-2014 13:00,298.7482262,101223.3544
02-01-2014 14:00,298.2132665,101308.2915
02-01-2014 15:00,298.507713,101384.9822
02-01-2014 16:00,298.7001236,101406.4226
02-01-2014 17:00,298.5383237,101380.0344
02-01-2014 18:00,298.5164589,101323.1348
02-01-2014 19:00,298.1797404,101273.6569
02-01-2014 20:00,298.1972323,101183.7721
02-01-2014 21:00,298.3342519,101176.3504
02-01-2014 22:00,297.7497319,101139.242
02-01-2014 23:00,297.6724761,101163.1563
03-01-2014 00:00,298.4362878,101163.1563
03-01-2014 01:00,298.3779816,101279.4294
03-01-2014 02:00,298.2730304,101363.5418
03-01-2014 03:00,298.2497079,101421.266
03-01-2014 04:00,298.1578755,101446.0049
03-01-2014 05:00,298.9464674,101469.0946
03-01-2014 06:00,300.7102311,101387.4561
03-01-2014 07:00,300.6796203,101300.8698
03-01-2014 08:00,300.6504672,101154.91
03-01-2014 09:00,300.6227717,101093.8873
03-01-2014 10:00,299.4187479,101112.0291
03-01-2014 11:00,299.1578275,101095.5365
03-01-2014 12:00,298.8444315,101154.0854
03-01-2014 13:00,298.7001236,101204.3879
03-01-2014 14:00,298.101027,101288.5003
03-01-2014 15:00,298.2307583,101361.8925
03-01-2014 16:00,298.0412631,101406.4226
03-01-2014 17:00,297.7162058,101390.7546
03-01-2014 18:00,297.596678,101319.8363
03-01-2014 19:00,297.3751143,101240.6717
03-01-2014 20:00,296.7104232,101177.9997
03-01-2014 21:00,297.0223616,101124.3986
03-01-2014 22:00,296.2031589,101133.4696
03-01-2014 23:00,296.0880041,101121.9247
04-01-2014 00:00,296.7891366,101106.2567
04-01-2014 01:00,296.8182897,101198.6155
04-01-2014 02:00,297.1535506,101270.3584
04-01-2014 03:00,297.2468406,101359.4186
04-01-2014 04:00,297.1243975,101394.0531
04-01-2014 05:00,298.0223135,101352.8216
04-01-2014 06:00,299.2117608,101276.1308
04-01-2014 07:00,299.4508164,101180.4736
04-01-2014 08:00,299.6286504,101059.2527
04-01-2014 09:00,300.0586589,101033.6891
04-01-2014 10:00,298.9552133,100991.6329
04-01-2014 11:00,298.9304332,100974.3157
04-01-2014 12:00,298.6097489,101022.9689
04-01-2014 13:00,298.6753434,101062.5512
04-01-2014 14:00,298.2190971,101122.7494
04-01-2014 15:00,298.2934375,101159.0331
04-01-2014 16:00,298.3429979,101206.8618
04-01-2014 17:00,298.1637062,101178.8243
04-01-2014 18:00,298.1637062,101137.5927
04-01-2014 19:00,297.9421425,101107.0814
04-01-2014 20:00,297.2045686,101044.4094
04-01-2014 21:00,297.3168081,101001.5285
04-01-2014 22:00,297.6127122,101032.8645
04-01-2014 23:00,297.4130134,101037.8123
05-01-2014 00:00,297.998991,101027.9167
05-01-2014 01:00,297.9071587,101114.503
05-01-2014 02:00,297.9377695,101166.4548
05-01-2014 03:00,298.138926,101212.6342
05-01-2014 04:00,298.1666215,101254.6904
05-01-2014 05:00,299.041215,101194.4923
05-01-2014 06:00,300.8195553,101138.4174
05-01-2014 07:00,300.634433,101023.7936
05-01-2014 08:00,301.0032199,100914.1176
05-01-2014 09:00,300.727723,100825.882
05-01-2014 10:00,299.4726812,100775.5795
05-01-2014 11:00,299.223422,100778.878
05-01-2014 12:00,298.8342279,100788.7736
05-01-2014 13:00,298.7292767,100863.815
05-01-2014 14:00,297.5864744,100935.558
05-01-2014 15:00,297.6243735,100979.2635
05-01-2014 16:00,297.3663684,101029.566
05-01-2014 17:00,297.2133145,101032.8645
05-01-2014 18:00,296.9873778,100991.6329
05-01-2014 19:00,296.7206268,100968.5432
05-01-2014 20:00,296.3649587,100892.6771
05-01-2014 21:00,296.3678741,100867.9382
05-01-2014 22:00,296.3532975,100901.7481
05-01-2014 23:00,296.1215302,100870.4121
06-01-2014 00:00,296.3707894,100935.558
06-01-2014 01:00,296.550081,101004.827
06-01-2014 02:00,297.2555865,101096.3611
06-01-2014 03:00,297.6316618,101171.4026
06-01-2014 04:00,297.7205788,101210.1603
06-01-2014 05:00,298.7234461,101206.8618
06-01-2014 06:00,300.2714767,101150.7868
06-01-2014 07:00,300.3487324,101083.167
06-01-2014 08:00,300.6475519,100984.2112
06-01-2014 09:00,300.452226,100923.1885
06-01-2014 10:00,299.1549122,100885.2555
06-01-2014 11:00,299.0047736,100881.1323
06-01-2014 12:00,298.6330714,100896.8003
06-01-2014 13:00,298.5295778,100961.9462
06-01-2014 14:00,297.5398294,101032.8645
06-01-2014 15:00,297.6054239,101094.7119
06-01-2014 16:00,297.7599355,101151.6115
06-01-2014 17:00,297.5937627,101124.3986
06-01-2014 18:00,297.4203016,101075.7454
06-01-2014 19:00,297.232264,101018.0211
06-01-2014 20:00,296.8882572,100963.5955
06-01-2014 21:00,296.8693077,100880.3077
06-01-2014 22:00,296.6069296,100873.7106
06-01-2014 23:00,296.6215062,100879.483
07-01-2014 00:00,296.9902931,100952.8752
07-01-2014 01:00,296.9465635,101049.3571
07-01-2014 02:00,297.2964009,101127.6971
07-01-2014 03:00,297.8444795,101213.4588
07-01-2014 04:00,298.3619474,101285.2018
07-01-2014 05:00,299.003316,101265.4106
07-01-2014 06:00,300.5673808,101242.3209
07-01-2014 07:00,300.2918838,101147.4883
07-01-2014 08:00,300.9740668,101052.6557
07-01-2014 09:00,300.9594903,100964.4201
07-01-2014 10:00,299.3371192,100971.0171
07-01-2014 11:00,299.1053519,100980.0881
07-01-2014 12:00,298.910026,101034.5138
07-01-2014 13:00,298.7584298,101112.0291
07-01-2014 14:00,298.2584538,101192.843
07-01-2014 15:00,298.3327943,101251.3919
07-01-2014 16:00,298.3488285,101292.6235
07-01-2014 17:00,297.6374924,101324.7841
07-01-2014 18:00,297.7118328,101259.6382
07-01-2014 19:00,297.689968,101214.2835
07-01-2014 20:00,297.3867756,101160.6824
07-01-2014 21:00,297.4713196,101113.6784
07-01-2014 22:00,297.0529723,101069.9729
07-01-2014 23:00,297.0850408,101067.499
08-01-2014 00:00,297.8590561,101110.3799
08-01-2014 01:00,297.9581767,101182.9475
08-01-2014 02:00,298.1724521,101267.0599
08-01-2014 03:00,298.5937147,101379.2098
08-01-2014 04:00,298.7394803,101457.5498
08-01-2014 05:00,299.6169891,101453.4266
08-01-2014 06:00,300.7612491,101377.5605
08-01-2014 07:00,301.0061353,101285.2018
08-01-2014 08:00,301.1431549,101191.1938
08-01-2014 09:00,301.0250848,101079.0439
08-01-2014 10:00,299.8647907,101071.6222
08-01-2014 11:00,299.7044485,101021.3197
08-01-2014 12:00,299.0951483,101077.3946
08-01-2014 13:00,298.6155795,101144.1898
08-01-2014 14:00,298.0849927,101220.8805
08-01-2014 15:00,298.2395043,101337.9782
08-01-2014 16:00,298.2686574,101361.8925
08-01-2014 17:00,297.9523461,101380.0344
08-01-2014 18:00,298.143299,101320.6609
08-01-2014 19:00,297.7264094,101241.4963
08-01-2014 20:00,297.321181,101196.1416
08-01-2014 21:00,297.1695848,101114.503
08-01-2014 22:00,296.6317098,101070.7976
08-01-2014 23:00,296.5209279,101112.8538
09-01-2014 00:00,297.1783308,101172.2273
09-01-2014 01:00,296.86785,101210.9849
09-01-2014 02:00,297.601051,101326.4334
09-01-2014 03:00,297.9727532,101377.5605
09-01-2014 04:00,298.0485514,101452.602
09-01-2014 05:00,299.2715247,101434.4601
09-01-2014 06:00,300.5105322,101388.2807
09-01-2014 07:00,300.494498,101262.9367
09-01-2014 08:00,300.8341319,101121.1001
09-01-2014 09:00,300.8866075,101019.6704
09-01-2014 10:00,299.7991961,100961.1216
09-01-2014 11:00,299.2496598,100948.7521
09-01-2014 12:00,298.8546351,101005.6517
09-01-2014 13:00,298.3298789,101052.6557
09-01-2014 14:00,297.4246746,101149.9622
09-01-2014 15:00,297.5471177,101201.0894
09-01-2014 16:00,297.2993162,101260.4628
09-01-2014 17:00,296.8824266,101263.7614
09-01-2014 18:00,296.7016773,101220.0559
09-01-2014 19:00,296.5923531,101162.3317
09-01-2014 20:00,296.2643805,101117.8016
09-01-2014 21:00,296.372247,101061.7266
09-01-2014 22:00,295.8154225,101054.3049
09-01-2014 23:00,295.8985088,101086.4656
10-01-2014 00:00,296.3955695,101154.0854
10-01-2014 01:00,296.2862453,101229.1268
10-01-2014 02:00,297.1462623,101325.6087
10-01-2014 03:00,297.7234941,101374.262
10-01-2014 04:00,298.2934375,101446.8296
10-01-2014 05:00,299.0543339,101394.0531
10-01-2014 06:00,300.5659232,101315.7131
10-01-2014 07:00,300.4449377,101208.511
10-01-2014 08:00,300.7218923,101079.8685
10-01-2014 09:00,300.4245305,100988.3344
10-01-2014 10:00,299.3312886,100963.5955
10-01-2014 11:00,298.9420944,100954.5245
10-01-2014 12:00,298.2118088,101018.8458
10-01-2014 13:00,297.7541049,101098.0104
10-01-2014 14:00,296.7483223,101225.0037
10-01-2014 15:00,296.8386969,101264.586
10-01-2014 16:00,296.5559117,101356.1201
10-01-2014 17:00,296.2046166,101337.1536
10-01-2014 18:00,296.4465875,101325.6087
10-01-2014 19:00,296.278957,101289.3249
10-01-2014 20:00,296.0982077,101200.2647
10-01-2014 21:00,295.9801376,101147.4883
10-01-2014 22:00,295.3927022,101113.6784
10-01-2014 23:00,295.3752104,101136.7681
11-01-2014 00:00,296.1710905,101180.4736
11-01-2014 01:00,296.2396003,101255.515
11-01-2014 02:00,296.5019784,101342.926
11-01-2014 03:00,297.5223376,101415.4936
11-01-2014 04:00,297.9333965,101479.8148
11-01-2014 05:00,299.2146761,101455.9005
11-01-2014 06:00,300.3020874,101388.2807
11-01-2014 07:00,300.3501901,101272.0077
11-01-2014 08:00,300.81664,101147.4883
11-01-2014 09:00,300.8049787,101076.57
11-01-2014 10:00,299.956623,101041.9355
11-01-2014 11:00,299.1563699,101032.0399
11-01-2014 12:00,298.3371672,101081.5178
11-01-2014 13:00,297.8167841,101131.8203
11-01-2014 14:00,297.0325652,101238.1978
11-01-2014 15:00,296.9596824,101319.0117
11-01-2014 16:00,296.694389,101386.6315
11-01-2014 17:00,296.143395,101389.1054
11-01-2014 18:00,295.7542009,101342.1014
11-01-2014 19:00,295.5399255,101286.0264
11-01-2014 20:00,295.3752104,101213.4588
11-01-2014 21:00,295.3125312,101200.2647
11-01-2014 22:00,294.5793302,101144.1898
11-01-2014 23:00,294.9306253,101212.6342
12-01-2014 00:00,295.647792,101258.8136
12-01-2014 01:00,295.3970752,101347.8738
12-01-2014 02:00,296.6229638,101444.3557
12-01-2014 03:00,297.2278911,101553.207
12-01-2014 04:00,297.6520689,101562.278
12-01-2014 05:00,298.6782587,101528.4681
12-01-2014 06:00,300.4711755,101467.4454
12-01-2014 07:00,300.5207358,101378.3851
12-01-2014 08:00,301.0469496,101273.6569
12-01-2014 09:00,300.9594903,101178.8243
12-01-2014 10:00,299.7554665,101155.7346
12-01-2014 11:00,299.3429498,101160.6824
12-01-2014 12:00,298.8094478,101204.3879
12-01-2014 13:00,298.3546591,101267.0599
12-01-2014 14:00,297.232264,101366.0157
12-01-2014 15:00,297.1841614,101462.4976
12-01-2014 16:00,297.1156515,101466.6207
12-01-2014 17:00,296.8955455,101453.4266
12-01-2014 18:00,297.2060262,101394.0531
12-01-2014 19:00,296.965513,101349.523
12-01-2014 20:00,296.86785,101296.7466
12-01-2014 21:00,296.9844625,101234.0746
12-01-2014 22:00,296.5209279,101236.5485
12-01-2014 23:00,296.4728253,101194.4923
13-01-2014 00:00,297.1302281,101235.7239
13-01-2014 01:00,297.0209039,101353.6462
13-01-2014 02:00,297.5616943,101446.8296
13-01-2014 03:00,298.0164829,101498.7814
13-01-2014 04:00,298.5310355,101545.7854
13-01-2014 05:00,299.8254339,101501.2553
13-01-2014 06:00,300.8487084,101443.531
13-01-2014 07:00,300.8341319,101345.3999
13-01-2014 08:00,301.5046536,101229.9515
13-01-2014 09:00,301.0323731,101182.9475
13-01-2014 10:00,300.5848727,101093.8873
13-01-2014 11:00,299.9799455,101160.6824
13-01-2014 12:00,299.6097009,101147.4883
13-01-2014 13:00,299.2307103,101225.0037
13-01-2014 14:00,298.0704162,101248.918
13-01-2014 15:00,298.1782827,101328.0826
13-01-2014 16:00,298.2001476,101379.2098
13-01-2014 17:00,297.867802,101371.7881
13-01-2014 18:00,297.5908474,101339.6275
13-01-2014 19:00,297.4858962,101282.7279
13-01-2014 20:00,296.8445275,101248.0934
13-01-2014 21:00,297.3692837,101195.3169
13-01-2014 22:00,296.4976054,101163.1563
13-01-2014 23:00,296.8095438,101146.6637
14-01-2014 00:00,297.2643325,101173.0519
14-01-2014 01:00,296.4101461,101265.4106
14-01-2014 02:00,297.3867756,101307.4668
14-01-2014 03:00,298.138926,101390.7546
14-01-2014 04:00,298.5660192,101436.934
14-01-2014 05:00,299.3356615,101450.9527
14-01-2014 06:00,300.9973893,101388.2807
14-01-2014 07:00,301.0761027,101301.6944
14-01-2014 08:00,301.312243,101182.9475
14-01-2014 09:00,301.1212901,101101.3089
14-01-2014 10:00,299.9420464,101072.4468
14-01-2014 11:00,299.5091226,101057.6035
14-01-2014 12:00,298.8298549,101119.4508
14-01-2014 13:00,298.5820534,101177.9997
14-01-2014 14:00,297.7497319,101278.6047
14-01-2014 15:00,297.7380706,101323.1348
14-01-2014 16:00,297.5339988,101389.93
14-01-2014 17:00,297.143347,101356.9447
14-01-2014 18:00,297.007785,101307.4668
14-01-2014 19:00,297.1870767,101281.9033
14-01-2014 20:00,297.0238192,101222.5298
14-01-2014 21:00,297.1987379,101218.4066
14-01-2014 22:00,295.7673198,101130.171
14-01-2014 23:00,295.7396243,101176.3504
15-01-2014 00:00,296.6681512,101208.511
15-01-2014 01:00,297.0748372,101332.2058
