Datetime,t2m,sp
01-01-2014 00:00,278.8279001,90732.39131
01-01-2014 01:00,278.2448378,90720.84647
01-01-2014 02:00,278.4722321,90785.16774
01-01-2014 03:00,279.1762799,90828.04858
01-01-2014 04:00,282.2446457,90897.31763
01-01-2014 05:00,285.6934596,90958.34037
01-01-2014 06:00,286.5870027,90969.88521
01-01-2014 07:00,286.3071328,90878.3511
01-01-2014 08:00,288.4061573,90826.39931
01-01-2014 09:00,288.4804978,90758.77952
01-01-2014 10:00,285.7736307,90699.40605
01-01-2014 11:00,285.6847137,90711.77552
01-01-2014 12:00,285.4514887,90701.05531
01-01-2014 13:00,285.2998925,90687.86121
01-01-2014 14:00,282.9530664,90699.40605
01-01-2014 15:00,281.7169742,90723.32037
01-01-2014 16:00,281.2038793,90738.16373
01-01-2014 17:00,279.6092037,90724.96963
01-01-2014 18:00,279.4823877,90716.72331
01-01-2014 19:00,279.434285,90691.15973
01-01-2014 20:00,278.2637873,90658.17447
01-01-2014 21:00,277.4926873,90605.39805
01-01-2014 22:00,276.1312367,90568.28963
01-01-2014 23:00,276.045235,90541.07678
02-01-2014 00:00,276.3557157,90541.07678
02-01-2014 01:00,276.1837123,90569.93889
02-01-2014 02:00,276.621009,90635.90942
02-01-2014 03:00,277.7375735,90715.07405
02-01-2014 04:00,281.2811351,90800.83574
02-01-2014 05:00,286.8974834,90851.96289
02-01-2014 06:00,287.8857741,90832.17174
02-01-2014 07:00,287.9805218,90767.02584
02-01-2014 08:00,290.2981947,90697.75679
02-01-2014 09:00,289.9979176,90647.45426
02-01-2014 10:00,287.3391532,90605.39805
02-01-2014 11:00,286.9689086,90615.29363
02-01-2014 12:00,287.5563439,90575.71131
02-01-2014 13:00,287.3974594,90596.3271
02-01-2014 14:00,284.9077831,90619.41679
02-01-2014 15:00,284.0011211,90646.62963
02-01-2014 16:00,282.7621135,90637.55868
02-01-2014 17:00,279.1864835,90617.76752
02-01-2014 18:00,278.9984459,90596.3271
02-01-2014 19:00,278.4620285,90586.43152
02-01-2014 20:00,276.9839654,90571.58815
02-01-2014 21:00,276.8804718,90508.09152
02-01-2014 22:00,276.3994453,90479.22941
02-01-2014 23:00,276.1924582,90443.77026
03-01-2014 00:00,276.1531015,90409.13573
03-01-2014 01:00,276.0233701,90433.05005
03-01-2014 02:00,276.5714487,90501.49447
03-01-2014 03:00,277.8089986,90608.69657
03-01-2014 04:00,281.7023977,90677.141
03-01-2014 05:00,289.03878,90693.63363
03-01-2014 06:00,289.3463454,90666.42079
03-01-2014 07:00,289.0067116,90550.97236
03-01-2014 08:00,291.076583,90523.75952
03-01-2014 09:00,290.5736917,90471.80773
03-01-2014 10:00,287.3581027,90491.59889
03-01-2014 11:00,286.4907974,90430.57615
03-01-2014 12:00,287.4645116,90459.43826
03-01-2014 13:00,287.1656921,90437.99784
03-01-2014 14:00,283.8174564,90472.63236
03-01-2014 15:00,282.7591982,90503.96836
03-01-2014 16:00,281.518733,90508.09152
03-01-2014 17:00,279.4503192,90494.07278
03-01-2014 18:00,278.5057582,90505.61763
03-01-2014 19:00,277.7113357,90480.05405
03-01-2014 20:00,276.6108055,90466.03531
03-01-2014 21:00,276.3790382,90443.77026
03-01-2014 22:00,274.8689066,90452.01657
03-01-2014 23:00,274.6925302,90427.27762
04-01-2014 00:00,275.7026858,90420.68057
04-01-2014 01:00,275.7362119,90457.78899
04-01-2014 02:00,276.7376215,90490.77426
04-01-2014 03:00,278.5290807,90590.55468
04-01-2014 04:00,281.5639203,90660.64836
04-01-2014 05:00,287.00535,90688.68584
04-01-2014 06:00,287.3085424,90643.3311
04-01-2014 07:00,287.5067836,90546.02457
04-01-2014 08:00,289.3798715,90482.52794
04-01-2014 09:00,289.3667526,90399.24015
04-01-2014 10:00,286.1263834,90371.20268
04-01-2014 11:00,285.4864725,90343.98983
04-01-2014 12:00,284.7940859,90312.65383
04-01-2014 13:00,285.1993142,90328.32183
04-01-2014 14:00,281.6470067,90348.11299
04-01-2014 15:00,281.0377065,90395.11699
04-01-2014 16:00,280.6718349,90396.76626
04-01-2014 17:00,280.2680642,90411.60962
04-01-2014 18:00,280.2607759,90381.09826
04-01-2014 19:00,280.6616313,90361.3071
04-01-2014 20:00,279.6835442,90333.26962
04-01-2014 21:00,278.9518009,90302.75825
04-01-2014 22:00,279.3118419,90238.43699
04-01-2014 23:00,278.9736657,90218.64583
05-01-2014 00:00,279.1981447,90212.87341
05-01-2014 01:00,278.9736657,90210.39952
05-01-2014 02:00,279.5800506,90290.38878
05-01-2014 03:00,279.4896759,90359.65783
05-01-2014 04:00,281.1878451,90420.68057
05-01-2014 05:00,285.5214562,90475.93089
05-01-2014 06:00,285.4937607,90399.24015
05-01-2014 07:00,285.4412851,90329.14647
05-01-2014 08:00,287.6408879,90225.24289
05-01-2014 09:00,287.6671258,90182.36204
05-01-2014 10:00,285.6234921,90122.16394
05-01-2014 11:00,284.6745581,90129.58562
05-01-2014 12:00,285.6438993,90137.83194
05-01-2014 13:00,285.7619694,90178.23888
05-01-2014 14:00,282.4151914,90179.06352
05-01-2014 15:00,280.9794003,90228.54141
05-01-2014 16:00,280.5202387,90235.13846
05-01-2014 17:00,279.2287555,90254.92962
05-01-2014 18:00,278.4561979,90243.38478
05-01-2014 19:00,278.2506684,90238.43699
05-01-2014 20:00,277.1909525,90245.85867
05-01-2014 21:00,276.265341,90231.01531
05-01-2014 22:00,275.8878081,90190.60836
05-01-2014 23:00,276.0437773,90152.67531
06-01-2014 00:00,275.7537038,90204.6271
06-01-2014 01:00,275.6677021,90245.85867
06-01-2014 02:00,275.5059023,90345.6391
06-01-2014 03:00,276.7040954,90413.25889
06-01-2014 04:00,279.8774124,90478.40478
06-01-2014 05:00,284.3888575,90555.09552
06-01-2014 06:00,284.5958447,90521.28563
06-01-2014 07:00,284.8013742,90475.10626
06-01-2014 08:00,286.8770762,90428.92689
06-01-2014 09:00,286.907687,90406.66183
06-01-2014 10:00,284.8830029,90425.62836
06-01-2014 11:00,284.4704863,90419.85594
06-01-2014 12:00,283.8422366,90470.9831
06-01-2014 13:00,286.043297,90417.38205
06-01-2014 14:00,283.1644266,90407.48647
06-01-2014 15:00,282.0478621,90462.73678
06-01-2014 16:00,280.4444406,90498.19594
06-01-2014 17:00,278.4518249,90532.83047
06-01-2014 18:00,277.9533066,90471.80773
06-01-2014 19:00,277.3979397,90461.08752
06-01-2014 20:00,275.9053,90414.90815
06-01-2014 21:00,274.7479212,90395.11699
06-01-2014 22:00,273.9418374,90380.27362
06-01-2014 23:00,273.7581728,90341.51594
07-01-2014 00:00,273.8077331,90340.69131
07-01-2014 01:00,273.9826518,90341.51594
07-01-2014 02:00,275.2770503,90394.29236
07-01-2014 03:00,276.4096489,90454.49047
07-01-2014 04:00,279.3307914,90550.97236
07-01-2014 05:00,285.1774494,90560.04331
07-01-2014 06:00,285.5418634,90524.58415
07-01-2014 07:00,285.780919,90440.47173
07-01-2014 08:00,288.0927613,90386.04605
07-01-2014 09:00,287.5621745,90402.53868
07-01-2014 10:00,284.7270337,90334.91889
07-01-2014 11:00,284.4923511,90383.57215
07-01-2014 12:00,285.5710165,90396.76626
07-01-2014 13:00,285.7663424,90395.94162
07-01-2014 14:00,283.3626678,90447.89341
07-01-2014 15:00,282.4049878,90549.3231
07-01-2014 16:00,281.51436,90597.97636
