Datetime,t2m,sp
01-01-2014 00:00,281.8685704,93670.55367
01-01-2014 01:00,281.8335867,93754.66609
01-01-2014 02:00,285.3800636,93788.47599
01-01-2014 03:00,286.3115057,93818.16273
01-01-2014 04:00,287.7779076,93834.65536
01-01-2014 05:00,292.0109405,93759.61388
01-01-2014 06:00,292.0867386,93635.91914
01-01-2014 07:00,291.6917138,93523.76925
01-01-2014 08:00,293.4394433,93446.25388
01-01-2014 09:00,293.1814382,93432.23514
01-01-2014 10:00,288.0694388,93339.05177
01-01-2014 11:00,288.4046997,93345.64882
01-01-2014 12:00,286.8435501,93423.16419
01-01-2014 13:00,286.9382978,93496.55641
01-01-2014 14:00,284.2984829,93530.3663
01-01-2014 15:00,283.8422366,93593.86293
01-01-2014 16:00,284.2722451,93595.5122
01-01-2014 17:00,283.2227328,93609.53093
01-01-2014 18:00,283.1717148,93594.68756
01-01-2014 19:00,283.0667636,93583.14272
01-01-2014 20:00,282.3029519,93570.77325
01-01-2014 21:00,282.1615593,93532.8402
01-01-2014 22:00,281.1703532,93590.56441
01-01-2014 23:00,281.3000846,93541.08651
02-01-2014 00:00,281.5260213,93592.21367
02-01-2014 01:00,281.1834721,93677.15072
02-01-2014 02:00,285.0448027,93721.68083
02-01-2014 03:00,285.5637282,93771.98336
02-01-2014 04:00,286.4674749,93809.91641
02-01-2014 05:00,291.8826667,93711.78525
02-01-2014 06:00,291.6727643,93629.32209
02-01-2014 07:00,291.394352,93513.04904
02-01-2014 08:00,292.61441,93478.41451
02-01-2014 09:00,292.2427077,93474.29135
02-01-2014 10:00,287.6846176,93464.39577
02-01-2014 11:00,288.496532,93428.93661
02-01-2014 12:00,286.8785339,93497.38104
02-01-2014 13:00,286.6598855,93554.28062
02-01-2014 14:00,284.5608609,93603.75851
02-01-2014 15:00,283.916577,93640.0423
02-01-2014 16:00,283.8757627,93626.8482
02-01-2014 17:00,282.2213232,93666.43051
02-01-2014 18:00,282.2810871,93626.8482
02-01-2014 19:00,282.19217,93650.76251
02-01-2014 20:00,281.5887005,93630.97135
02-01-2014 21:00,281.3161188,93600.45999
02-01-2014 22:00,280.6951574,93688.69557
02-01-2014 23:00,280.7345141,93603.75851
03-01-2014 00:00,280.6208169,93650.76251
03-01-2014 01:00,280.6295629,93706.83746
03-01-2014 02:00,284.2605838,93771.15872
03-01-2014 03:00,285.1672458,93848.67409
03-01-2014 04:00,286.2138428,93845.37557
03-01-2014 05:00,291.5430329,93769.50946
03-01-2014 06:00,291.7704272,93665.60588
03-01-2014 07:00,291.5925932,93598.81072
03-01-2014 08:00,292.8680421,93507.27662
03-01-2014 09:00,292.3301671,93524.59388
03-01-2014 10:00,288.2152044,93509.75051
03-01-2014 11:00,287.6044465,93503.15346
03-01-2014 12:00,287.0447067,93527.89241
03-01-2014 13:00,287.0184689,93590.56441
03-01-2014 14:00,285.0666676,93602.10925
03-01-2014 15:00,283.7693538,93616.95262
03-01-2014 16:00,283.7824727,93644.16546
03-01-2014 17:00,282.6848578,93623.54967
03-01-2014 18:00,282.6906884,93585.61662
03-01-2014 19:00,282.8379116,93585.61662
03-01-2014 20:00,282.2606799,93532.01556
03-01-2014 21:00,282.2737988,93517.99683
03-01-2014 22:00,280.7461754,93522.94462
03-01-2014 23:00,280.8380077,93521.29535
04-01-2014 00:00,280.6179016,93541.08651
04-01-2014 01:00,280.2418264,93618.60188
04-01-2014 02:00,284.2110235,93670.55367
04-01-2014 03:00,286.23425,93678.79999
04-01-2014 04:00,286.7065305,93687.0463
04-01-2014 05:00,290.4439603,93617.77725
04-01-2014 06:00,291.1363469,93507.27662
04-01-2014 07:00,291.0605488,93430.58588
04-01-2014 08:00,292.7193612,93362.96609
04-01-2014 09:00,292.347659,93343.17493
04-01-2014 10:00,288.1160838,93296.17093
04-01-2014 11:00,288.4513446,93310.18967
04-01-2014 12:00,287.0724021,93312.66356
04-01-2014 13:00,287.4193242,93359.66756
04-01-2014 14:00,285.7750883,93386.8804
04-01-2014 15:00,284.458825,93421.51493
04-01-2014 16:00,284.7591022,93418.2164
04-01-2014 17:00,283.2212751,93423.98883
04-01-2014 18:00,283.0521871,93389.3543
04-01-2014 19:00,283.0798825,93372.03704
04-01-2014 20:00,282.6673659,93318.43598
04-01-2014 21:00,282.3568852,93318.43598
04-01-2014 22:00,281.5566321,93316.78672
04-01-2014 23:00,281.6222266,93311.83893
05-01-2014 00:00,281.8933506,93309.36503
05-01-2014 01:00,281.7840264,93378.63409
05-01-2014 02:00,285.1993142,93419.86567
05-01-2014 03:00,285.4427428,93485.01156
05-01-2014 04:00,286.6351053,93473.46672
05-01-2014 05:00,290.9993272,93410.79472
05-01-2014 06:00,290.6101331,93273.90588
05-01-2014 07:00,290.1728363,93169.17766
05-01-2014 08:00,292.02989,93101.55787
05-01-2014 09:00,292.1042304,93075.99429
05-01-2014 10:00,287.4717999,93030.63956
05-01-2014 11:00,288.1248297,93008.3745
05-01-2014 12:00,287.3945441,93085.06524
05-01-2014 13:00,287.0447067,93163.40524
05-01-2014 14:00,284.6016753,93202.98756
05-01-2014 15:00,284.1847857,93237.62209
05-01-2014 16:00,284.5069277,93225.25261
05-01-2014 17:00,283.281039,93236.79745
05-01-2014 18:00,283.1046627,93235.97282
05-01-2014 19:00,282.9967961,93217.0063
05-01-2014 20:00,282.9545241,93231.84966
05-01-2014 21:00,283.1892067,93209.58461
05-01-2014 22:00,281.929792,93222.77872
05-01-2014 23:00,282.0770152,93256.58861
06-01-2014 00:00,281.9560298,93281.32756
06-01-2014 01:00,282.1426097,93376.98482
06-01-2014 02:00,284.1002417,93443.77998
06-01-2014 03:00,284.1833281,93522.94462
06-01-2014 04:00,284.3203477,93562.52693
06-01-2014 05:00,287.4717999,93535.31409
06-01-2014 06:00,287.1613191,93405.84693
06-01-2014 07:00,287.1205048,93332.45472
06-01-2014 08:00,288.538804,93254.93935
06-01-2014 09:00,288.7661983,93256.58861
06-01-2014 10:00,285.683256,93302.76798
06-01-2014 11:00,286.4295759,93263.18567
06-01-2014 12:00,285.5870507,93301.94335
06-01-2014 13:00,285.374233,93365.43998
06-01-2014 14:00,284.2751604,93402.5484
06-01-2014 15:00,283.8116258,93441.30609
06-01-2014 16:00,284.2256001,93434.70904
06-01-2014 17:00,283.2329364,93433.8844
06-01-2014 18:00,283.420974,93401.72377
06-01-2014 19:00,283.5390441,93380.28335
06-01-2014 20:00,283.1673419,93386.8804
06-01-2014 21:00,283.3174804,93358.0183
06-01-2014 22:00,282.7533676,93354.71977
06-01-2014 23:00,282.9472358,93317.61135
07-01-2014 00:00,283.3816173,93367.91388
07-01-2014 01:00,283.0551024,93485.01156
07-01-2014 02:00,284.0871228,93559.22841
07-01-2014 03:00,283.3510065,93685.39704
07-01-2014 04:00,283.1177816,93738.17346
07-01-2014 05:00,286.589918,93723.33009
07-01-2014 06:00,287.2152524,93667.25514
07-01-2014 07:00,287.1802687,93576.54567
07-01-2014 08:00,288.2326963,93537.78798
07-01-2014 09:00,288.2924602,93523.76925
07-01-2014 10:00,285.3684023,93610.35556
07-01-2014 11:00,285.9266846,93626.02356
07-01-2014 12:00,285.780919,93670.55367
