Datetime,t2m,sp
01-01-2014 00:00,292.2456231,101076.57
01-01-2014 01:00,292.2179276,101140.0666
01-01-2014 02:00,292.9132295,101172.2273
01-01-2014 03:00,293.5225297,101253.8658
01-01-2014 04:00,294.3111215,101319.0117
01-01-2014 05:00,299.6563459,101342.926
01-01-2014 06:00,300.2845956,101293.4481
01-01-2014 07:00,300.4668026,101212.6342
01-01-2014 08:00,302.0950042,101059.2527
01-01-2014 09:00,302.0250368,100943.8043
01-01-2014 10:00,301.0105082,100909.1698
01-01-2014 11:00,300.9026417,100901.7481
01-01-2014 12:00,300.4872097,100897.6249
01-01-2014 13:00,300.2306623,100945.4536
01-01-2014 14:00,297.7424436,101033.6891
01-01-2014 15:00,297.2891126,101116.9769
01-01-2014 16:00,297.0981597,101177.175
01-01-2014 17:00,295.5807398,101182.1228
01-01-2014 18:00,295.5136877,101154.91
01-01-2014 19:00,296.0180366,101102.1336
01-01-2014 20:00,295.3460572,101087.2902
01-01-2014 21:00,294.5982797,101057.6035
01-01-2014 22:00,293.9204697,101075.7454
01-01-2014 23:00,293.8636211,101089.7641
02-01-2014 00:00,293.8738247,101106.2567
02-01-2014 01:00,293.8825707,101149.9622
02-01-2014 02:00,294.6113986,101214.2835
02-01-2014 03:00,295.3271077,101300.8698
02-01-2014 04:00,296.4174344,101385.8068
02-01-2014 05:00,300.765622,101417.9675
02-01-2014 06:00,301.1912576,101364.3664
02-01-2014 07:00,301.2801746,101260.4628
02-01-2014 08:00,302.901088,101135.9435
02-01-2014 09:00,302.6926432,101037.8123
02-01-2014 10:00,301.8049307,101039.4616
02-01-2014 11:00,301.5644175,101012.2487
02-01-2014 12:00,301.1460702,101029.566
02-01-2014 13:00,301.0032199,101070.7976
02-01-2014 14:00,297.9392272,101130.171
02-01-2014 15:00,297.3532495,101215.1081
02-01-2014 16:00,297.1127362,101258.8136
02-01-2014 17:00,295.8824746,101273.6569
02-01-2014 18:00,296.8241204,101231.6007
02-01-2014 19:00,296.7424916,101178.8243
02-01-2014 20:00,295.6317578,101141.7159
02-01-2014 21:00,295.3999905,101109.5553
02-01-2014 22:00,294.1959667,101104.6075
02-01-2014 23:00,293.7368051,101133.4696
03-01-2014 00:00,293.3825947,101121.9247
03-01-2014 01:00,293.4190361,101177.9997
03-01-2014 02:00,294.3869196,101253.0411
03-01-2014 03:00,294.9452019,101353.6462
03-01-2014 04:00,296.2221085,101425.3891
03-01-2014 05:00,301.3268196,101450.1281
03-01-2014 06:00,301.723302,101352.8216
03-01-2014 07:00,301.8953054,101248.918
03-01-2014 08:00,303.214484,101120.2755
03-01-2014 09:00,303.0905832,101037.8123
03-01-2014 10:00,301.8778135,100979.2635
03-01-2014 11:00,301.3224466,100979.2635
03-01-2014 12:00,300.8647426,100999.0546
03-01-2014 13:00,300.676705,101040.2862
03-01-2014 14:00,297.7774273,101107.0814
03-01-2014 15:00,297.4800655,101203.5633
03-01-2014 16:00,298.2890646,101253.0411
03-01-2014 17:00,296.7060502,101272.8323
03-01-2014 18:00,296.6287945,101225.8283
03-01-2014 19:00,296.4961478,101151.6115
03-01-2014 20:00,295.8314567,101126.8725
03-01-2014 21:00,295.1740538,101107.906
03-01-2014 22:00,293.6799565,101067.499
03-01-2014 23:00,293.474427,101093.8873
04-01-2014 00:00,293.5837512,101074.0961
04-01-2014 01:00,294.0312516,101080.6931
04-01-2014 02:00,294.5530924,101153.2607
04-01-2014 03:00,294.4510565,101239.0224
04-01-2014 04:00,294.4554295,101297.5713
04-01-2014 05:00,299.223422,101301.6944
04-01-2014 06:00,299.7336016,101244.7948
04-01-2014 07:00,300.1548642,101121.1001
04-01-2014 08:00,301.8559487,101009.7748
04-01-2014 09:00,301.9623575,100933.9087
04-01-2014 10:00,300.490125,100873.7106
04-01-2014 11:00,300.1636101,100895.151
04-01-2014 12:00,299.9333005,100936.3826
04-01-2014 13:00,299.8560447,100993.2822
04-01-2014 14:00,297.0719219,101046.8832
04-01-2014 15:00,296.8445275,101112.0291
04-01-2014 16:00,296.7483223,101179.6489
04-01-2014 17:00,295.3081582,101179.6489
04-01-2014 18:00,295.0822215,101132.6449
04-01-2014 19:00,294.9058451,101093.0626
04-01-2014 20:00,293.9685724,101032.8645
04-01-2014 21:00,293.9846066,100995.7561
04-01-2014 22:00,292.9292637,100966.894
04-01-2014 23:00,292.8665845,100952.8752
05-01-2014 00:00,292.9759087,100971.0171
05-01-2014 01:00,292.9015682,101056.7788
05-01-2014 02:00,293.5939548,101120.2755
05-01-2014 03:00,293.8971472,101210.9849
05-01-2014 04:00,293.8402987,101276.9555
05-01-2014 05:00,298.2671997,101242.3209
05-01-2014 06:00,298.998943,101177.175
05-01-2014 07:00,299.5018343,101053.4803
05-01-2014 08:00,300.8938957,100938.0319
05-01-2014 09:00,300.9084723,100846.4978
05-01-2014 10:00,299.8443835,100822.5835
05-01-2014 11:00,299.5790901,100795.3706
05-01-2014 12:00,299.4114597,100830.0051
05-01-2014 13:00,299.3881372,100873.7106
05-01-2014 14:00,296.4407569,100920.7146
05-01-2014 15:00,295.9815952,100970.1925
05-01-2014 16:00,295.6142659,101052.6557
05-01-2014 17:00,292.9496709,101036.163
05-01-2014 18:00,292.8986529,101002.3531
05-01-2014 19:00,292.7251919,100959.4723
05-01-2014 20:00,291.6756796,100935.558
05-01-2014 21:00,291.567813,100924.8378
05-01-2014 22:00,290.0751734,100889.3786
05-01-2014 23:00,290.0474779,100924.8378
06-01-2014 00:00,290.0795463,100921.5392
06-01-2014 01:00,290.0620545,101046.0586
06-01-2014 02:00,290.8491887,101097.1858
06-01-2014 03:00,291.3564529,101199.4401
06-01-2014 04:00,291.5590671,101242.3209
06-01-2014 05:00,297.5442024,101252.2165
06-01-2014 06:00,298.4435761,101164.8056
06-01-2014 07:00,299.2000995,101063.3759
06-01-2014 08:00,301.1183748,100925.6624
06-01-2014 09:00,301.4959076,100827.5312
06-01-2014 10:00,300.9857281,100786.2997
06-01-2014 11:00,301.0207118,100768.9824
06-01-2014 12:00,300.5280241,100778.878
06-01-2014 13:00,300.0513706,100846.4978
06-01-2014 14:00,296.1725482,100899.2742
06-01-2014 15:00,295.6361308,100966.0694
06-01-2014 16:00,295.0924251,101022.9689
