Datetime,t2m,sp
01-01-2014 00:00,293.707652,100418.514
01-01-2014 01:00,293.6843295,100471.2904
01-01-2014 02:00,295.2760898,100536.4363
01-01-2014 03:00,296.787679,100632.9182
01-01-2014 04:00,297.6695608,100686.5192
01-01-2014 05:00,301.4273978,100651.0601
01-01-2014 06:00,302.2407698,100617.2502
01-01-2014 07:00,302.761153,100514.1712
01-01-2014 08:00,304.3543709,100383.8795
01-01-2014 09:00,304.6619363,100245.3413
01-01-2014 10:00,303.3529613,100200.8112
01-01-2014 11:00,303.3310965,100200.8112
01-01-2014 12:00,302.9972933,100212.3561
01-01-2014 13:00,301.7874388,100263.4832
01-01-2014 14:00,299.4245786,100381.4056
01-01-2014 15:00,298.0019064,100447.3761
01-01-2014 16:00,297.550033,100533.9624
01-01-2014 17:00,296.105496,100566.123
01-01-2014 18:00,295.7921,100577.6679
01-01-2014 19:00,295.6842334,100530.6639
01-01-2014 20:00,294.7076039,100503.451
01-01-2014 21:00,294.6288905,100464.6933
01-01-2014 22:00,294.2017973,100442.4283
01-01-2014 23:00,294.109965,100416.8647
02-01-2014 00:00,294.3475629,100448.2007
02-01-2014 01:00,294.2309504,100487.783
02-01-2014 02:00,295.6871487,100600.7576
02-01-2014 03:00,297.0281922,100676.6237
02-01-2014 04:00,297.8022075,100770.6317
02-01-2014 05:00,301.2014611,100778.0534
02-01-2014 06:00,302.1387339,100721.1538
02-01-2014 07:00,302.6518288,100615.6009
02-01-2014 08:00,304.3048106,100469.6411
02-01-2014 09:00,304.527832,100356.6666
02-01-2014 10:00,303.3937757,100322.8567
02-01-2014 11:00,303.0876679,100285.7483
02-01-2014 12:00,302.3821625,100319.5582
02-01-2014 13:00,302.5949802,100340.9986
02-01-2014 14:00,299.7044485,100431.7081
02-01-2014 15:00,298.452322,100529.8392
02-01-2014 16:00,297.9304812,100602.4068
02-01-2014 17:00,295.7644045,100623.0226
02-01-2014 18:00,295.1798845,100596.6344
02-01-2014 19:00,294.9262523,100549.6304
02-01-2014 20:00,294.1026767,100517.4698
02-01-2014 21:00,294.1391181,100490.2569
02-01-2014 22:00,293.5808359,100451.4992
02-01-2014 23:00,293.5298179,100438.3051
03-01-2014 00:00,293.4788,100453.9731
03-01-2014 01:00,293.6318539,100551.2797
03-01-2014 02:00,295.2615132,100616.4256
03-01-2014 03:00,296.7483223,100710.4336
03-01-2014 04:00,298.1637062,100777.2287
03-01-2014 05:00,301.990053,100834.9529
03-01-2014 06:00,302.5381316,100721.9784
03-01-2014 07:00,303.0351923,100633.7428
03-01-2014 08:00,304.896619,100471.2904
03-01-2014 09:00,305.1108944,100378.9317
03-01-2014 10:00,303.5905592,100337.7001
03-01-2014 11:00,302.6809819,100284.099
03-01-2014 12:00,301.9725611,100318.7336
03-01-2014 13:00,302.1868366,100347.5957
03-01-2014 14:00,298.7992442,100444.0776
03-01-2014 15:00,297.3547071,100564.4738
03-01-2014 16:00,296.8663924,100604.0561
03-01-2014 17:00,294.8752344,100622.198
03-01-2014 18:00,294.7571642,100547.9811
03-01-2014 19:00,294.7629949,100493.5555
03-01-2014 20:00,294.067693,100472.115
03-01-2014 21:00,293.4729694,100440.779
03-01-2014 22:00,292.9904852,100424.2864
03-01-2014 23:00,292.974451,100403.6706
04-01-2014 00:00,293.4598505,100425.111
04-01-2014 01:00,293.5750053,100453.1485
04-01-2014 02:00,295.0078811,100506.7496
04-01-2014 03:00,295.9801376,100576.8432
04-01-2014 04:00,297.0777525,100623.0226
04-01-2014 05:00,301.4201095,100607.3546
04-01-2014 06:00,302.2932454,100574.3693
04-01-2014 07:00,302.4506723,100477.8875
04-01-2014 08:00,303.3719108,100363.2637
04-01-2014 09:00,303.3471307,100282.4498
04-01-2014 10:00,302.1387339,100214.83
04-01-2014 11:00,301.7830659,100199.9866
04-01-2014 12:00,301.5673328,100223.0763
04-01-2014 13:00,301.2247836,100297.2931
04-01-2014 14:00,298.1520449,100359.9651
04-01-2014 15:00,297.8182417,100430.0588
04-01-2014 16:00,297.8882092,100491.0816
04-01-2014 17:00,296.1958707,100490.2569
04-01-2014 18:00,295.5093147,100422.6371
04-01-2014 19:00,295.1449007,100377.2824
04-01-2014 20:00,294.0647777,100330.2784
