Datetime,t2m,sp
01-01-2014 00:00,285.2095178,101152.4361
01-01-2014 01:00,285.7634271,101208.511
01-01-2014 02:00,287.772077,101313.2393
01-01-2014 03:00,288.2122891,101361.0679
01-01-2014 04:00,288.8215893,101422.9153
01-01-2014 05:00,293.8942319,101404.7734
01-01-2014 06:00,294.6274329,101293.4481
01-01-2014 07:00,295.0457801,101154.0854
01-01-2014 08:00,296.86785,101051.831
01-01-2014 09:00,297.7030869,100966.0694
01-01-2014 10:00,295.0064234,100876.1845
01-01-2014 11:00,295.2309024,100850.6209
01-01-2014 12:00,294.9626937,100905.8712
01-01-2014 13:00,294.7309264,100966.0694
01-01-2014 14:00,292.8345161,101009.7748
01-01-2014 15:00,290.8856301,101089.7641
01-01-2014 16:00,290.525589,101112.0291
01-01-2014 17:00,289.90317,101101.3089
01-01-2014 18:00,289.9046276,101104.6075
01-01-2014 19:00,289.9979176,101102.1336
01-01-2014 20:00,288.9513206,101086.4656
01-01-2014 21:00,288.4819554,101047.7079
01-01-2014 22:00,287.7545851,101046.0586
01-01-2014 23:00,287.5169872,101010.5995
02-01-2014 00:00,287.7604157,101054.3049
02-01-2014 01:00,287.8085184,101106.2567
02-01-2014 02:00,288.5606688,101216.7574
02-01-2014 03:00,288.9367441,101314.8885
02-01-2014 04:00,289.1014592,101394.8778
02-01-2014 05:00,292.5109164,101376.7359
02-01-2014 06:00,293.3505263,101299.2205
02-01-2014 07:00,293.4511045,101194.4923
02-01-2014 08:00,294.969982,101095.5365
02-01-2014 09:00,295.334396,101013.0734
02-01-2014 10:00,293.2018454,100989.159
02-01-2014 11:00,292.7383108,100905.8712
02-01-2014 12:00,292.2193853,100944.6289
02-01-2014 13:00,291.9059892,101018.0211
02-01-2014 14:00,289.9964599,101069.1483
02-01-2014 15:00,288.4440564,101106.2567
02-01-2014 16:00,288.314325,101130.171
02-01-2014 17:00,287.5767511,101130.171
02-01-2014 18:00,287.4091207,101182.1228
02-01-2014 19:00,287.2618974,101154.91
02-01-2014 20:00,286.5403577,101166.4548
02-01-2014 21:00,285.7954955,101114.503
02-01-2014 22:00,284.7780517,101164.8056
02-01-2014 23:00,284.7109995,101155.7346
03-01-2014 00:00,284.3626197,101176.3504
03-01-2014 01:00,284.1177335,101213.4588
03-01-2014 02:00,285.2576205,101309.9407
03-01-2014 03:00,286.0578736,101397.3517
03-01-2014 04:00,286.2852679,101483.1134
03-01-2014 05:00,289.6539108,101433.6355
03-01-2014 06:00,290.2675839,101354.4708
03-01-2014 07:00,290.4527063,101238.1978
03-01-2014 08:00,292.6581397,101135.9435
03-01-2014 09:00,293.1756075,101069.9729
03-01-2014 10:00,290.6917618,100992.4576
03-01-2014 11:00,290.3608739,100977.6142
03-01-2014 12:00,289.5897739,100987.5098
03-01-2014 13:00,289.2384789,101074.9207
03-01-2014 14:00,286.7109035,101100.4843
03-01-2014 15:00,285.5199986,101146.6637
03-01-2014 16:00,285.4383698,101163.1563
03-01-2014 17:00,284.2737027,101188.7199
03-01-2014 18:00,283.9471878,101149.9622
03-01-2014 19:00,284.0171553,101146.6637
03-01-2014 20:00,283.4778226,101121.1001
03-01-2014 21:00,283.2212751,101120.2755
03-01-2014 22:00,282.2927483,101100.4843
03-01-2014 23:00,281.8277561,101050.1818
04-01-2014 00:00,282.200916,101115.3277
04-01-2014 01:00,282.8073009,101150.7868
04-01-2014 02:00,284.3203477,101247.2687
04-01-2014 03:00,284.7780517,101301.6944
04-01-2014 04:00,286.0360088,101340.4521
04-01-2014 05:00,290.5853529,101320.6609
04-01-2014 06:00,291.0503452,101164.8056
04-01-2014 07:00,291.3841484,101045.234
04-01-2014 08:00,293.8155185,100934.7334
04-01-2014 09:00,294.5939068,100839.9007
04-01-2014 10:00,291.8622595,100801.9677
04-01-2014 11:00,291.8491406,100791.2475
04-01-2014 12:00,290.4672828,100764.8592
04-01-2014 13:00,290.7500681,100831.6544
04-01-2014 14:00,288.4936167,100879.483
04-01-2014 15:00,286.8814492,100900.9235
04-01-2014 16:00,286.5563919,100939.6811
04-01-2014 17:00,286.0972303,100962.7708
04-01-2014 18:00,285.2911466,100903.3974
04-01-2014 19:00,285.3261303,100877.0091
04-01-2014 20:00,284.963174,100846.4978
04-01-2014 21:00,284.2081082,100797.8445
04-01-2014 22:00,283.5667396,100769.807
04-01-2014 23:00,283.5084334,100747.542
05-01-2014 00:00,283.8568131,100771.4563
05-01-2014 01:00,284.0783768,100839.9007
05-01-2014 02:00,286.0345511,100928.1363
05-01-2014 03:00,286.6030369,101005.6517
05-01-2014 04:00,287.3522721,101046.0586
05-01-2014 05:00,291.2267216,101023.7936
05-01-2014 06:00,291.9599225,100909.1698
05-01-2014 07:00,292.0736197,100798.6691
05-01-2014 08:00,294.1872208,100701.3626
05-01-2014 09:00,294.838793,100629.6197
05-01-2014 10:00,291.436624,100574.3693
05-01-2014 11:00,291.6815102,100535.6117
05-01-2014 12:00,291.5707284,100556.2275
05-01-2014 13:00,291.5707284,100601.5822
05-01-2014 14:00,289.8127953,100646.9369
05-01-2014 15:00,287.8201796,100696.4148
05-01-2014 16:00,287.6117348,100683.2207
05-01-2014 17:00,286.9339248,100703.0119
05-01-2014 18:00,286.8391772,100696.4148
05-01-2014 19:00,286.7808709,100679.9222
05-01-2014 20:00,286.2677761,100705.4858
05-01-2014 21:00,285.7371893,100679.9222
05-01-2014 22:00,285.7138668,100661.7803
05-01-2014 23:00,285.9106503,100669.202
06-01-2014 00:00,286.1482483,100718.6799
06-01-2014 01:00,286.4426948,100811.8632
06-01-2014 02:00,287.9251309,100956.1738
06-01-2014 03:00,288.4061573,101048.5325
06-01-2014 04:00,288.627721,101115.3277
06-01-2014 05:00,291.9730414,101094.7119
06-01-2014 06:00,292.4613561,101021.3197
06-01-2014 07:00,293.021096,100885.2555
06-01-2014 08:00,294.881065,100831.6544
06-01-2014 09:00,295.6244695,100750.0159
06-01-2014 10:00,293.2047607,100746.7174
06-01-2014 11:00,292.9438403,100754.9637
06-01-2014 12:00,292.2762338,100773.1056
06-01-2014 13:00,292.0590431,100857.218
06-01-2014 14:00,290.5620304,100926.487
06-01-2014 15:00,289.5577055,100966.894
06-01-2014 16:00,289.3769562,101003.1778
06-01-2014 17:00,288.2574764,100988.3344
06-01-2014 18:00,287.9018084,100925.6624
06-01-2014 19:00,287.6729564,100905.0466
06-01-2014 20:00,286.8843645,100901.7481
06-01-2014 21:00,286.2677761,100905.0466
06-01-2014 22:00,285.7780037,100881.9569
06-01-2014 23:00,285.1993142,100871.2367
07-01-2014 00:00,285.2036872,100908.3451
07-01-2014 01:00,285.192026,100988.3344
07-01-2014 02:00,285.5812201,101071.6222
07-01-2014 03:00,286.1045186,101198.6155
07-01-2014 04:00,286.4733055,101296.7466
07-01-2014 05:00,290.4687405,101289.3249
07-01-2014 06:00,290.707796,101224.179
07-01-2014 07:00,291.1815342,101091.4134
07-01-2014 08:00,293.6085314,101006.4763
07-01-2014 09:00,294.296545,100961.1216
07-01-2014 10:00,291.3841484,100962.7708
07-01-2014 11:00,291.1523811,100944.6289
07-01-2014 12:00,290.0955805,100982.562
07-01-2014 13:00,289.314277,101070.7976
07-01-2014 14:00,286.5665955,101129.3464
07-01-2014 15:00,285.3902672,101230.7761
07-01-2014 16:00,285.2678241,101278.6047
07-01-2014 17:00,284.0812921,101286.851
07-01-2014 18:00,283.5463324,101276.9555
07-01-2014 19:00,283.5390441,101250.5673
07-01-2014 20:00,282.8845566,101229.1268
07-01-2014 21:00,281.9560298,101172.2273
07-01-2014 22:00,281.569751,101234.0746
07-01-2014 23:00,281.4108665,101225.0037
08-01-2014 00:00,281.3569332,101223.3544
08-01-2014 01:00,281.332153,101285.2018
08-01-2014 02:00,282.8947602,101381.6837
08-01-2014 03:00,283.2154445,101451.7774
08-01-2014 04:00,284.2256001,101555.6809
08-01-2014 05:00,288.5052779,101521.871
08-01-2014 06:00,289.7297089,101382.5083
08-01-2014 07:00,290.6713546,101262.1121
08-01-2014 08:00,292.2791491,101122.7494
08-01-2014 09:00,292.7864134,101041.9355
08-01-2014 10:00,290.4804017,100993.2822
08-01-2014 11:00,290.1028688,100973.491
08-01-2014 12:00,288.5023626,101008.1256
08-01-2014 13:00,288.7793172,101069.9729
08-01-2014 14:00,287.3799675,101145.839
08-01-2014 15:00,286.2138428,101229.9515
08-01-2014 16:00,286.4106263,101243.9702
08-01-2014 17:00,286.1380447,101235.7239
08-01-2014 18:00,286.094315,101215.9327
08-01-2014 19:00,286.0447547,101177.175
08-01-2014 20:00,285.4194203,101112.8538
08-01-2014 21:00,284.6935076,101066.6744
08-01-2014 22:00,283.4034821,101010.5995
08-01-2014 23:00,282.9778466,101023.7936
09-01-2014 00:00,282.3058672,101028.7414
09-01-2014 01:00,282.1630169,101101.3089
09-01-2014 02:00,283.2927003,101174.7011
09-01-2014 03:00,283.7372853,101295.922
09-01-2014 04:00,285.1978566,101322.3102
09-01-2014 05:00,289.4119399,101358.594
09-01-2014 06:00,289.665572,101239.847
09-01-2014 07:00,289.8259142,101098.835
09-01-2014 08:00,291.6771372,100970.1925
09-01-2014 09:00,292.8928223,100885.2555
09-01-2014 10:00,290.076631,100830.0051
09-01-2014 11:00,290.4556216,100804.4416
09-01-2014 12:00,291.2515017,100833.3037
09-01-2014 13:00,290.9891236,100909.1698
09-01-2014 14:00,288.7122651,100950.4014
09-01-2014 15:00,287.8172643,101009.7748
09-01-2014 16:00,287.9717758,101029.566
09-01-2014 17:00,286.5636802,101041.1108
09-01-2014 18:00,286.0287205,101042.7601
09-01-2014 19:00,285.5170832,100989.9837
09-01-2014 20:00,285.2240944,100954.5245
09-01-2014 21:00,285.2051449,100923.1885
09-01-2014 22:00,285.6686795,100935.558
09-01-2014 23:00,285.8538018,100904.222
10-01-2014 00:00,285.7532235,100944.6289
10-01-2014 01:00,285.9704142,101037.8123
10-01-2014 02:00,286.6438513,101124.3986
10-01-2014 03:00,286.9616203,101239.847
10-01-2014 04:00,287.3785099,101296.7466
10-01-2014 05:00,290.5707764,101291.7988
10-01-2014 06:00,290.9818354,101215.9327
10-01-2014 07:00,290.9512246,101098.0104
10-01-2014 08:00,293.4788,101008.1256
10-01-2014 09:00,294.0691506,100926.487
10-01-2014 10:00,292.1975204,100858.0426
10-01-2014 11:00,292.2937257,100833.3037
10-01-2014 12:00,291.2194333,100816.811
10-01-2014 13:00,290.7107114,100901.7481
10-01-2014 14:00,289.0416953,100959.4723
10-01-2014 15:00,287.6335997,101033.6891
10-01-2014 16:00,287.9863524,101053.4803
10-01-2014 17:00,288.6568741,101111.2045
10-01-2014 18:00,288.3157826,101100.4843
10-01-2014 19:00,287.6306844,101053.4803
10-01-2014 20:00,287.2546091,100976.7896
10-01-2014 21:00,286.8756186,100941.3304
10-01-2014 22:00,287.8449598,100920.7146
10-01-2014 23:00,287.8085184,100943.8043
11-01-2014 00:00,287.9688605,100926.487
11-01-2014 01:00,287.9222155,101050.1818
11-01-2014 02:00,288.17439,101137.5927
11-01-2014 03:00,287.6000736,101206.8618
11-01-2014 04:00,287.8711976,101253.8658
11-01-2014 05:00,290.4191802,101272.0077
11-01-2014 06:00,290.2311425,101222.5298
11-01-2014 07:00,289.6407919,101114.503
11-01-2014 08:00,289.9148312,101012.2487
11-01-2014 09:00,289.9366961,100960.2969
11-01-2014 10:00,288.4557176,100965.2447
11-01-2014 11:00,288.8419964,100975.1403
11-01-2014 12:00,288.9236252,101031.2152
11-01-2014 13:00,288.8798955,101128.5218
11-01-2014 14:00,288.8361658,101215.1081
11-01-2014 15:00,288.3259862,101267.8845
11-01-2014 16:00,288.5213121,101290.9742
11-01-2014 17:00,288.0621505,101327.258
11-01-2014 18:00,287.9717758,101272.0077
11-01-2014 19:00,287.8843165,101265.4106
11-01-2014 20:00,287.7152284,101227.4776
11-01-2014 21:00,287.2866776,101156.5593
11-01-2014 22:00,286.0214322,101185.4214
