Datetime,t2m,sp
01-01-2014 00:00,273.9928554,83953.09501
01-01-2014 01:00,273.3514868,83940.72553
01-01-2014 02:00,273.3689786,84000.92364
01-01-2014 03:00,274.6721231,84034.73353
01-01-2014 04:00,277.4504153,84105.65185
01-01-2014 05:00,280.607698,84165.02533
01-01-2014 06:00,281.8160948,84190.5889
01-01-2014 07:00,281.8219254,84117.19669
01-01-2014 08:00,283.8466095,84082.56217
01-01-2014 09:00,283.9559337,84028.96111
01-01-2014 10:00,281.4997835,83991.02806
01-01-2014 11:00,281.6236842,83993.50195
01-01-2014 12:00,282.1017954,83981.95711
01-01-2014 13:00,281.603277,83974.53543
01-01-2014 14:00,278.7185759,83991.85269
01-01-2014 15:00,277.1865796,84024.01332
01-01-2014 16:00,276.4125642,84028.96111
01-01-2014 17:00,275.1546072,84019.06553
01-01-2014 18:00,274.447644,84015.76701
01-01-2014 19:00,274.0467887,83995.15122
01-01-2014 20:00,273.0526673,83972.88616
01-01-2014 21:00,272.4258753,83925.88216
01-01-2014 22:00,270.6591963,83900.31858
01-01-2014 23:00,270.9623887,83863.21016
02-01-2014 00:00,271.4302962,83864.85943
02-01-2014 01:00,271.5337898,83885.47522
02-01-2014 02:00,272.0935297,83943.19943
02-01-2014 03:00,274.0730265,84005.0468
02-01-2014 04:00,277.6238763,84074.31585
02-01-2014 05:00,283.8888816,84122.96911
02-01-2014 06:00,285.4223356,84122.14448
02-01-2014 07:00,285.9223116,84071.01732
02-01-2014 08:00,288.2691377,84014.94238
02-01-2014 09:00,287.7516698,83974.53543
02-01-2014 10:00,285.238671,83933.30385
02-01-2014 11:00,285.0214802,83953.91964
02-01-2014 12:00,285.6963749,83920.93437
02-01-2014 13:00,283.9457301,83935.77774
02-01-2014 14:00,279.8584629,83948.97185
02-01-2014 15:00,278.9634621,83971.2369
02-01-2014 16:00,278.3089746,83958.86743
02-01-2014 17:00,275.9359108,83954.74427
02-01-2014 18:00,275.2129134,83939.9009
02-01-2014 19:00,274.4549323,83940.72553
02-01-2014 20:00,273.1590762,83916.81122
02-01-2014 21:00,273.0643286,83866.50869
02-01-2014 22:00,272.3311276,83830.2249
02-01-2014 23:00,272.2582448,83806.31058
03-01-2014 00:00,272.3340429,83777.44848
03-01-2014 01:00,272.4258753,83793.94111
03-01-2014 02:00,272.8587991,83836.82195
03-01-2014 03:00,274.7245987,83931.65459
03-01-2014 04:00,278.4955546,83997.62511
03-01-2014 05:00,286.3158787,84018.2409
03-01-2014 06:00,287.3129154,83990.20343
03-01-2014 07:00,287.2516938,83883.82595
03-01-2014 08:00,289.71659,83851.66532
03-01-2014 09:00,289.309904,83789.81795
03-01-2014 10:00,286.1147222,83793.11648
03-01-2014 11:00,284.7620175,83737.04153
03-01-2014 12:00,285.5404057,83766.72827
03-01-2014 13:00,285.0185649,83740.34006
03-01-2014 14:00,280.1441635,83775.79921
03-01-2014 15:00,278.7316948,83803.01206
03-01-2014 16:00,278.0713767,83810.43374
03-01-2014 17:00,276.1195754,83797.23964
03-01-2014 18:00,275.4650879,83796.415
03-01-2014 19:00,274.9213822,83762.60511
03-01-2014 20:00,273.5715928,83746.11248
03-01-2014 21:00,273.180941,83718.075
03-01-2014 22:00,271.6824707,83695.80995
03-01-2014 23:00,271.5760618,83675.19416
04-01-2014 00:00,272.4419095,83672.72027
04-01-2014 01:00,272.5643526,83701.58237
04-01-2014 02:00,273.4170813,83738.69079
04-01-2014 03:00,275.4534266,83824.45248
04-01-2014 04:00,277.8950003,83887.12448
04-01-2014 05:00,282.9443205,83911.86343
04-01-2014 06:00,283.2693778,83888.77374
04-01-2014 07:00,283.4093128,83814.5569
04-01-2014 08:00,285.8100721,83759.30658
04-01-2014 09:00,285.6949173,83687.56363
04-01-2014 10:00,283.5769432,83652.92911
04-01-2014 11:00,282.3335627,83657.05227
04-01-2014 12:00,281.0887245,83621.59311
04-01-2014 13:00,281.785484,83630.66405
04-01-2014 14:00,278.6019635,83637.26111
04-01-2014 15:00,277.7215393,83674.36953
04-01-2014 16:00,276.7798935,83685.08974
04-01-2014 17:00,275.4315618,83705.70553
04-01-2014 18:00,275.7639074,83682.61584
04-01-2014 19:00,275.8192983,83663.64932
04-01-2014 20:00,275.5146482,83637.26111
04-01-2014 21:00,274.6371393,83617.46995
04-01-2014 22:00,274.2858442,83540.77921
04-01-2014 23:00,274.2027578,83521.81268
05-01-2014 00:00,273.6255261,83521.81268
05-01-2014 01:00,273.4010471,83504.49542
05-01-2014 02:00,273.3835552,83568.81669
05-01-2014 03:00,273.8456321,83631.48869
05-01-2014 04:00,275.0132145,83676.01879
05-01-2014 05:00,280.0246357,83730.44448
05-01-2014 06:00,279.9225997,83671.071
05-01-2014 07:00,279.6908325,83616.64532
05-01-2014 08:00,281.8306714,83546.55163
05-01-2014 09:00,281.6309725,83524.28658
05-01-2014 10:00,278.9357667,83443.47268
05-01-2014 11:00,278.8862064,83423.68153
05-01-2014 12:00,279.1340079,83437.70026
05-01-2014 13:00,279.2754005,83458.31605
05-01-2014 14:00,276.3528004,83450.06974
05-01-2014 15:00,275.4971563,83499.54763
05-01-2014 16:00,274.8135157,83498.723
05-01-2014 17:00,273.8223096,83527.58511
05-01-2014 18:00,273.0905664,83518.51416
05-01-2014 19:00,273.3456562,83523.46195
05-01-2014 20:00,272.1270558,83530.88363
05-01-2014 21:00,271.4856872,83511.09247
05-01-2014 22:00,270.1373554,83465.73774
05-01-2014 23:00,270.0353195,83408.83816
06-01-2014 00:00,269.7365,83474.80868
06-01-2014 01:00,269.8283324,83495.42447
06-01-2014 02:00,269.838536,83577.063
06-01-2014 03:00,271.5279592,83629.83942
06-01-2014 04:00,274.1998425,83694.16069
06-01-2014 05:00,279.2010601,83771.67606
06-01-2014 06:00,279.8089026,83759.30658
06-01-2014 07:00,279.5202867,83739.51542
06-01-2014 08:00,281.5974464,83709.82869
06-01-2014 09:00,281.6047347,83702.407
06-01-2014 10:00,279.3337067,83699.10848
06-01-2014 11:00,279.3788941,83714.77648
06-01-2014 12:00,280.5858332,83761.78048
06-01-2014 13:00,280.4633901,83685.91437
06-01-2014 14:00,275.9781828,83684.26511
06-01-2014 15:00,274.7522941,83742.81395
06-01-2014 16:00,273.9272609,83766.72827
06-01-2014 17:00,272.6547272,83795.59037
06-01-2014 18:00,272.5803868,83735.39227
06-01-2014 19:00,272.3311276,83728.79521
06-01-2014 20:00,270.9711346,83685.91437
06-01-2014 21:00,270.1242365,83675.19416
06-01-2014 22:00,269.969725,83656.22763
06-01-2014 23:00,269.8487396,83612.52216
07-01-2014 00:00,270.2889516,83600.97732
07-01-2014 01:00,270.2976976,83599.32805
07-01-2014 02:00,271.1956136,83645.50742
07-01-2014 03:00,272.0716649,83704.8809
07-01-2014 04:00,274.7012762,83810.43374
07-01-2014 05:00,280.2578606,83822.80322
07-01-2014 06:00,280.5829179,83793.94111
07-01-2014 07:00,281.0828939,83724.67206
07-01-2014 08:00,284.2970252,83676.84342
07-01-2014 09:00,284.01424,83691.68679
07-01-2014 10:00,281.9895559,83624.89163
07-01-2014 11:00,281.6047347,83681.79121
07-01-2014 12:00,283.0390681,83679.31732
07-01-2014 13:00,282.6265515,83662.00005
07-01-2014 14:00,279.4546922,83715.60111
07-01-2014 15:00,278.7841705,83811.25837
07-01-2014 16:00,278.1763279,83859.91164
07-01-2014 17:00,276.9635582,83873.10574
07-01-2014 18:00,276.8921331,83859.91164
07-01-2014 19:00,276.9766771,83857.43774
07-01-2014 20:00,275.9781828,83817.85543
07-01-2014 21:00,276.2463915,83797.23964
07-01-2014 22:00,274.9359588,83784.87016
07-01-2014 23:00,274.6633771,83757.65732
08-01-2014 00:00,274.8907714,83780.747
08-01-2014 01:00,275.1779297,83807.13521
08-01-2014 02:00,275.9752675,83879.70279
08-01-2014 03:00,275.9446567,83903.61711
08-01-2014 04:00,277.5845196,83964.63985
08-01-2014 05:00,281.9662334,84003.39753
08-01-2014 06:00,283.9020005,83986.08027
08-01-2014 07:00,283.8932545,83918.46048
08-01-2014 08:00,284.7838823,83836.82195
08-01-2014 09:00,285.2824006,83788.99332
08-01-2014 10:00,282.8422846,83757.65732
08-01-2014 11:00,282.7985549,83695.80995
08-01-2014 12:00,282.6105173,83707.35479
08-01-2014 13:00,282.1703052,83696.63458
08-01-2014 14:00,279.7928684,83742.81395
08-01-2014 15:00,278.4678591,83755.18342
08-01-2014 16:00,278.5757257,83727.97058
08-01-2014 17:00,278.4838933,83733.743
08-01-2014 18:00,278.9109865,83753.53416
08-01-2014 19:00,278.5101311,83739.51542
08-01-2014 20:00,277.9912056,83732.91837
08-01-2014 21:00,277.9751714,83688.38827
08-01-2014 22:00,278.3439584,83558.09647
08-01-2014 23:00,277.1851219,83600.97732
09-01-2014 00:00,277.2623777,83611.69753
09-01-2014 01:00,277.5393323,83599.32805
09-01-2014 02:00,276.5000236,83668.59711
09-01-2014 03:00,277.3469217,83742.81395
09-01-2014 04:00,278.5145041,83818.68006
09-01-2014 05:00,282.0318279,83848.36679
09-01-2014 06:00,282.2869177,83873.10574
09-01-2014 07:00,282.0041324,83773.32532
09-01-2014 08:00,284.3611621,83714.77648
09-01-2014 09:00,284.1993623,83664.47395
09-01-2014 10:00,281.0828939,83609.22363
09-01-2014 11:00,280.789905,83610.8729
09-01-2014 12:00,281.921046,83609.22363
09-01-2014 13:00,281.7140589,83620.76848
09-01-2014 14:00,277.311938,83649.63058
09-01-2014 15:00,276.8323692,83708.17942
09-01-2014 16:00,276.0525232,83755.18342
09-01-2014 17:00,275.0700631,83763.42974
09-01-2014 18:00,274.6692077,83757.65732
09-01-2014 19:00,274.3310316,83731.26911
09-01-2014 20:00,273.7013242,83725.49669
09-01-2014 21:00,273.10077,83690.86216
09-01-2014 22:00,272.227634,83616.64532
09-01-2014 23:00,271.7334887,83610.8729
10-01-2014 00:00,271.423008,83580.36153
10-01-2014 01:00,271.151884,83596.02953
10-01-2014 02:00,270.9857112,83635.61184
10-01-2014 03:00,272.7553055,83715.60111
10-01-2014 04:00,274.8776525,83759.30658
10-01-2014 05:00,280.1354175,83791.46721
10-01-2014 06:00,281.0668597,83786.51943
10-01-2014 07:00,281.1484884,83723.84742
10-01-2014 08:00,282.4953625,83670.24637
10-01-2014 09:00,281.5508014,83634.78721
10-01-2014 10:00,280.0596194,83572.93984
10-01-2014 11:00,279.4794723,83591.90637
10-01-2014 12:00,280.2287075,83586.13395
10-01-2014 13:00,279.9692447,83598.50342
10-01-2014 14:00,277.4985179,83650.45521
10-01-2014 15:00,276.4125642,83674.36953
10-01-2014 16:00,276.0292007,83699.10848
10-01-2014 17:00,275.5642085,83745.28785
10-01-2014 18:00,275.1108775,83743.63858
10-01-2014 19:00,275.1473189,83744.46321
10-01-2014 20:00,273.8077331,83714.77648
10-01-2014 21:00,273.7348503,83662.82469
10-01-2014 22:00,272.0789531,83623.24237
10-01-2014 23:00,272.0818685,83643.85816
11-01-2014 00:00,271.9696289,83630.66405
11-01-2014 01:00,271.7553535,83643.85816
11-01-2014 02:00,271.1023237,83685.91437
11-01-2014 03:00,271.2393433,83756.83269
11-01-2014 04:00,273.0410061,83793.11648
11-01-2014 05:00,278.8176965,83866.50869
11-01-2014 06:00,279.8744971,83890.42301
11-01-2014 07:00,280.789905,83845.8929
11-01-2014 08:00,282.5259733,83803.83669
11-01-2014 09:00,282.5128544,83785.69479
11-01-2014 10:00,280.9779426,83793.94111
11-01-2014 11:00,281.5274789,83883.00132
11-01-2014 12:00,281.4064935,83902.79248
11-01-2014 13:00,281.840875,83942.3748
11-01-2014 14:00,279.5304903,83983.60638
11-01-2014 15:00,277.0233221,84047.10301
11-01-2014 16:00,276.5218884,84072.66659
11-01-2014 17:00,274.9971803,84102.35332
11-01-2014 18:00,274.5132386,84089.98385
11-01-2014 19:00,274.2260803,84085.86069
11-01-2014 20:00,273.2436202,84038.03206
11-01-2014 21:00,272.731983,84024.01332
11-01-2014 22:00,271.503179,84074.31585
11-01-2014 23:00,271.3195144,84016.59164
12-01-2014 00:00,271.2976496,84047.92764
12-01-2014 01:00,271.0046607,84060.29711
12-01-2014 02:00,271.1737488,84093.28238
12-01-2014 03:00,271.5060944,84123.79375
