Datetime,t2m,sp
01-01-2014 00:00,297.3080621,100566.9477
01-01-2014 01:00,297.096702,100562.8245
01-01-2014 02:00,297.4713196,100679.0976
01-01-2014 03:00,297.9202776,100726.9262
01-01-2014 04:00,298.4654409,100776.4041
01-01-2014 05:00,299.863333,100740.9449
01-01-2014 06:00,300.8982687,100696.4148
01-01-2014 07:00,301.3107853,100579.3171
01-01-2014 08:00,301.7043524,100460.5702
01-01-2014 09:00,301.6562498,100327.8045
01-01-2014 10:00,301.0134235,100260.1847
01-01-2014 11:00,300.7597914,100284.9237
01-01-2014 12:00,300.6169411,100286.5729
01-01-2014 13:00,300.5965339,100369.0361
01-01-2014 14:00,299.9114356,100482.8352
01-01-2014 15:00,299.7773313,100576.8432
01-01-2014 16:00,299.9872337,100618.0748
01-01-2014 17:00,299.3283733,100627.9704
01-01-2014 18:00,298.9493827,100592.5112
01-01-2014 19:00,298.7846676,100561.1752
01-01-2014 20:00,298.3998464,100515.8205
01-01-2014 21:00,298.1607909,100496.854
01-01-2014 22:00,298.0164829,100480.3613
01-01-2014 23:00,297.7672238,100506.7496
02-01-2014 00:00,297.8357336,100538.0856
02-01-2014 01:00,297.6272888,100624.6719
02-01-2014 02:00,297.8342759,100727.7508
02-01-2014 03:00,298.2059782,100805.2662
02-01-2014 04:00,298.5674769,100874.5352
02-01-2014 05:00,299.6417693,100836.6022
02-01-2014 06:00,300.7583337,100781.3519
02-01-2014 07:00,300.9886434,100684.0453
02-01-2014 08:00,301.0527802,100578.4925
02-01-2014 09:00,300.8283012,100426.7603
02-01-2014 10:00,300.3808009,100397.0736
02-01-2014 11:00,300.2087975,100382.2302
02-01-2014 12:00,300.1723561,100432.5327
02-01-2014 13:00,300.1432029,100465.518
02-01-2014 14:00,299.7175674,100578.4925
02-01-2014 15:00,299.6315657,100632.0936
02-01-2014 16:00,299.5892937,100709.6089
02-01-2014 17:00,299.1038943,100710.4336
02-01-2014 18:00,298.8094478,100665.0788
