Datetime,t2m,sp
01-01-2014 00:00,293.3417803,101116.9769
01-01-2014 01:00,293.4423586,101222.5298
01-01-2014 02:00,294.3825467,101276.9555
01-01-2014 03:00,294.9247947,101354.4708
01-01-2014 04:00,295.4131094,101387.4561
01-01-2014 05:00,297.1783308,101342.926
01-01-2014 06:00,298.4027617,101267.8845
01-01-2014 07:00,298.6141219,101144.1898
01-01-2014 08:00,299.1286744,101038.6369
01-01-2014 09:00,299.1534546,100948.7521
01-01-2014 10:00,297.9917028,100942.9797
01-01-2014 11:00,297.7395283,100940.5058
01-01-2014 12:00,296.690016,100961.9462
01-01-2014 13:00,296.5748612,101018.0211
01-01-2014 14:00,295.7556586,101084.8163
01-01-2014 15:00,295.6798604,101150.7868
01-01-2014 16:00,295.4320589,101220.0559
01-01-2014 17:00,294.6638743,101214.2835
01-01-2014 18:00,294.1434911,101182.9475
01-01-2014 19:00,293.9102661,101142.5405
01-01-2014 20:00,293.2732705,101102.1336
01-01-2014 21:00,293.0823176,101046.8832
01-01-2014 22:00,292.8374314,101091.4134
01-01-2014 23:00,292.661055,101081.5178
02-01-2014 00:00,292.5561038,101078.2192
02-01-2014 01:00,292.4657291,101140.0666
02-01-2014 02:00,293.8242644,101225.8283
02-01-2014 03:00,294.9306253,101323.1348
02-01-2014 04:00,295.7192172,101363.5418
02-01-2014 05:00,297.8036652,101325.6087
02-01-2014 06:00,299.1403356,101256.3397
02-01-2014 07:00,299.3342039,101165.6302
02-01-2014 08:00,299.7817043,101037.8123
02-01-2014 09:00,299.6971602,100976.7896
02-01-2014 10:00,298.7336496,100965.2447
02-01-2014 11:00,298.3896428,100926.487
02-01-2014 12:00,297.4946421,100989.9837
02-01-2014 13:00,297.6578996,101091.4134
02-01-2014 14:00,296.647744,101177.9997
02-01-2014 15:00,296.0880041,101239.847
02-01-2014 16:00,296.0719699,101263.7614
02-01-2014 17:00,295.2644285,101241.4963
02-01-2014 18:00,294.4146151,101192.0184
02-01-2014 19:00,294.1157956,101173.8765
02-01-2014 20:00,293.6420574,101100.4843
02-01-2014 21:00,293.5589711,101072.4468
02-01-2014 22:00,293.3417803,101037.8123
02-01-2014 23:00,293.3446956,101087.2902
03-01-2014 00:00,293.4904612,101112.0291
03-01-2014 01:00,293.3359497,101172.2273
03-01-2014 02:00,294.3621395,101307.4668
03-01-2014 03:00,295.2104952,101362.7171
03-01-2014 04:00,295.7206748,101396.527
03-01-2014 05:00,297.4946421,101359.4186
03-01-2014 06:00,299.0091466,101247.2687
03-01-2014 07:00,299.2263373,101115.3277
03-01-2014 08:00,299.6199045,100994.9315
03-01-2014 09:00,299.5295298,100931.4348
03-01-2014 10:00,298.3502861,100897.6249
03-01-2014 11:00,298.0266865,100932.2595
03-01-2014 12:00,297.4888115,100934.7334
03-01-2014 13:00,297.5718979,100990.8083
03-01-2014 14:00,296.5661153,101083.9917
03-01-2014 15:00,296.2804147,101150.7868
03-01-2014 16:00,296.2716688,101190.3691
03-01-2014 17:00,295.6492497,101172.2273
03-01-2014 18:00,294.9102181,101128.5218
03-01-2014 19:00,294.6974003,101069.1483
03-01-2014 20:00,294.2936297,101022.9689
03-01-2014 21:00,294.1974244,100989.9837
03-01-2014 22:00,293.9685724,101004.827
03-01-2014 23:00,293.8315527,100986.6851
04-01-2014 00:00,294.1391181,101008.1256
04-01-2014 01:00,293.9525382,101075.7454
04-01-2014 02:00,294.8562848,101170.578
04-01-2014 03:00,295.5049417,101232.4254
04-01-2014 04:00,295.9772223,101258.8136
04-01-2014 05:00,297.5135916,101216.7574
04-01-2014 06:00,298.6214101,101117.8016
04-01-2014 07:00,298.825482,100994.1068
04-01-2014 08:00,299.1184708,100864.6397
04-01-2014 09:00,299.1622005,100830.0051
04-01-2014 10:00,298.2759457,100830.0051
04-01-2014 11:00,297.9727532,100821.7588
04-01-2014 12:00,297.4479971,100845.6731
04-01-2014 13:00,297.5019304,100843.1992
04-01-2014 14:00,296.741034,100930.6102
04-01-2014 15:00,296.7628988,100952.0506
04-01-2014 16:00,296.3081102,100997.4054
04-01-2014 17:00,295.7862693,100989.159
04-01-2014 18:00,295.1871727,100936.3826
